,G,Opponent,Home_away,Tm,Opp
0,1,Dallas Mavericks,0,140,99
1,2,Seattle SuperSonics,1,106,98
2,3,Denver Nuggets,1,96,97
3,4,Portland Trail Blazers,0,119,93
4,5,Cleveland Cavaliers,0,107,101
5,6,Los Angeles Clippers,0,107,93
6,7,New York Knicks,0,106,89
7,8,Minnesota Timberwolves,0,113,106
8,9,Los Angeles Lakers,1,96,98
9,10,Portland Trail Blazers,1,111,116
10,11,New Jersey Nets,0,106,100
11,12,Atlanta Hawks,1,88,85
12,13,Seattle SuperSonics,0,119,101
13,14,Sacramento Kings,1,94,99
14,15,Los Angeles Clippers,1,81,92
15,16,Utah Jazz,0,92,93
16,17,Milwaukee Bucks,1,83,102
17,18,Indiana Pacers,1,102,109
18,19,Minnesota Timberwolves,1,98,85
19,20,Phoenix Suns,0,107,112
21,21,Houston Rockets,1,107,100
22,22,Dallas Mavericks,1,98,87
23,23,Washington Bullets,0,93,96
24,24,Phoenix Suns,1,91,116
25,25,Sacramento Kings,0,101,90
26,26,New York Knicks,1,118,89
27,27,Cleveland Cavaliers,1,97,103
28,28,Orlando Magic,1,96,87
29,29,Washington Bullets,1,84,94
30,30,Houston Rockets,0,110,112
31,31,Detroit Pistons,0,100,90
32,32,Los Angeles Lakers,0,103,87
33,33,Golden State Warriors,1,128,120
34,34,Denver Nuggets,1,96,85
35,35,Golden State Warriors,0,123,124
36,36,Minnesota Timberwolves,1,125,111
37,37,Chicago Bulls,1,96,102
38,38,Boston Celtics,1,89,98
39,39,Los Angeles Clippers,0,114,100
40,40,Utah Jazz,1,98,100
42,41,Milwaukee Bucks,0,115,86
43,42,Chicago Bulls,0,109,104
44,43,Dallas Mavericks,1,108,93
45,44,Minnesota Timberwolves,0,103,101
46,45,Portland Trail Blazers,0,95,88
47,46,Indiana Pacers,0,106,117
48,47,Boston Celtics,0,100,84
49,48,Golden State Warriors,1,94,109
50,49,Seattle SuperSonics,1,91,108
51,50,Sacramento Kings,1,112,106
52,51,Los Angeles Clippers,1,110,124
53,52,Minnesota Timberwolves,0,113,103
54,53,Philadelphia 76ers,0,100,90
55,54,Houston Rockets,1,83,90
56,55,Miami Heat,0,123,101
57,56,Golden State Warriors,0,124,103
58,57,Denver Nuggets,0,115,112
59,58,Minnesota Timberwolves,1,103,102
60,59,Utah Jazz,1,93,102
61,60,Phoenix Suns,0,122,109
63,61,Dallas Mavericks,1,93,81
64,62,Atlanta Hawks,0,103,92
65,63,Houston Rockets,0,104,98
66,64,Utah Jazz,0,113,106
67,65,Charlotte Hornets,0,112,117
68,66,Sacramento Kings,0,118,89
69,67,Seattle SuperSonics,0,101,96
70,68,Philadelphia 76ers,1,92,105
71,69,Charlotte Hornets,1,108,113
72,70,Miami Heat,1,101,118
73,71,Detroit Pistons,1,103,107
74,72,New Jersey Nets,1,109,117
75,73,Los Angeles Lakers,0,104,86
76,74,Orlando Magic,0,106,113
77,75,Denver Nuggets,1,90,87
78,76,Houston Rockets,0,92,95
79,77,Los Angeles Lakers,1,102,94
80,78,Portland Trail Blazers,1,97,123
81,79,Dallas Mavericks,0,120,108
82,80,Phoenix Suns,1,101,121
84,81,Denver Nuggets,0,108,94
85,82,Utah Jazz,0,90,101
