,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
8,4.0,0.45799999999999996,8.7,0.0,0.111,0.1,1.7,30.0,2.4,8.2,4.0,0.45299999999999996,8.8,1.8,0.428,4.1,74.0,74.0,wallabe01,NBA,36.1,3.9,2.1,9.7,C,1.4,2004-05,1.1,12.2,DET,0.45399999999999996
9,2.9,0.514,5.6,0.0,0.0,0.0,1.9,31.0,2.2,7.6,2.9,0.51,5.7,1.5,0.41600000000000004,3.6,82.0,82.0,wallabe01,NBA,35.2,3.7,2.0,7.3,C,1.8,2005-06,1.1,11.3,DET,0.51
10,2.5,0.456,5.4,0.0,0.2,0.1,2.4,32.0,2.0,6.7,2.5,0.45299999999999996,5.5,1.4,0.408,3.5,77.0,77.0,wallabe01,NBA,35.0,3.9,2.0,6.4,C,1.4,2006-07,1.3,10.7,CHI,0.45399999999999996
11,1.9,0.397,4.8,0.0,0.0,0.1,1.5,33.0,1.6,5.1,1.9,0.392,4.9,1.0,0.426,2.3,72.0,72.0,wallabe01,NBA,30.6,3.3,1.7,4.8,C-PF,1.2,2007-08,0.9,8.4,TOT,0.392
12,2.0,0.37799999999999995,5.3,0.0,0.0,0.1,1.8,33.0,1.6,5.3,2.0,0.373,5.4,1.1,0.424,2.5,50.0,50.0,wallabe01,NBA,32.5,3.5,1.7,5.1,C,1.4,2007-08,1.0,8.8,CHI,0.373
13,1.7,0.457,3.7,0.0,0.0,0.0,0.6,33.0,1.7,4.7,1.7,0.457,3.7,0.9,0.43200000000000005,2.0,22.0,22.0,wallabe01,NBA,26.3,2.7,1.6,4.2,PF,0.9,2007-08,0.8,7.4,CLE,0.457
14,1.2,0.445,2.8,0.0,0.0,0.0,0.8,34.0,1.3,4.0,1.2,0.445,2.8,0.5,0.42200000000000004,1.1,56.0,53.0,wallabe01,NBA,23.5,2.4,1.5,2.9,PF,0.9,2008-09,0.6,6.5,CLE,0.445
15,2.3,0.545,4.2,0.0,0.0,0.0,1.5,35.0,1.2,5.1,2.3,0.541,4.2,0.9,0.406,2.3,69.0,67.0,wallabe01,NBA,28.6,3.6,1.9,5.5,C,1.2,2009-10,0.9,8.7,DET,0.541
16,1.2,0.449,2.7,0.0,0.5,0.0,1.3,36.0,1.0,4.1,1.2,0.45,2.8,0.4,0.33299999999999996,1.1,54.0,49.0,wallabe01,NBA,22.9,2.4,1.5,2.9,C,1.0,2010-11,0.8,6.5,DET,0.45299999999999996
17,0.5,0.402,1.3,0.0,0.25,0.1,0.7,37.0,0.8,3.0,0.5,0.395,1.4,0.3,0.34,0.8,62.0,11.0,wallabe01,NBA,15.8,1.3,1.0,1.4,C,0.8,2011-12,0.5,4.3,DET,0.401
0,1.8,0.517,3.4,0.0,0.5,0.1,0.5,22.0,0.4,1.5,1.8,0.517,3.5,1.2,0.718,1.6,68.0,6.0,wallajo01,NBA,11.6,0.8,1.5,4.8,SF,0.3,1996-97,1.1,2.3,NYK,0.521
1,5.7,0.478,11.9,0.0,0.5,0.0,1.3,23.0,1.2,3.1,5.7,0.478,11.9,2.6,0.7170000000000001,3.6,82.0,36.0,wallajo01,NBA,28.8,1.4,2.9,14.0,SF,0.8,1997-98,2.1,4.5,TOR,0.479
2,3.2,0.43200000000000005,7.4,0.0,0.0,0.0,1.0,24.0,0.9,2.4,3.2,0.43200000000000005,7.4,2.2,0.7,3.1,48.0,3.0,wallajo01,NBA,16.9,1.1,1.9,8.6,SF,0.3,1998-99,1.5,3.6,TOR,0.43200000000000005
