2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.5,0.327,1.6,0.0,0.0,0.0,0.1,35.0,0.3,1.2,0.5,0.327,1.6,0.0,0.0,0.1,34.0,0.0,garrede01,NBA,5.4,0.5,0.9,1.1,C,0.2,2001-02,0.3,1.7,TOT,0.327
0.5,0.35,1.4,0.0,0.0,0.0,0.1,35.0,0.3,1.2,0.5,0.35,1.4,0.0,0.0,0.1,29.0,0.0,garrede01,NBA,5.2,0.4,0.9,1.0,C,0.2,2001-02,0.2,1.6,MIN,0.35
0.8,0.267,3.0,0.0,0.0,0.0,0.2,35.0,0.2,1.4,0.8,0.267,3.0,0.0,0.0,0.0,5.0,0.0,garrede01,NBA,6.2,0.6,1.2,1.6,C,0.4,2001-02,0.6,2.0,GSW,0.267
0.7,0.382,1.8,0.2,0.2,0.8,1.6,24.0,0.0,0.5,0.8,0.327,2.6,0.3,0.5,0.5,19.0,0.0,garredi02,NBA,7.8,0.3,0.3,2.1,PG,0.5,2012-13,0.8,0.8,PHO,0.35700000000000004
0.9,0.385,2.4,0.5,0.375,1.4,1.7,25.0,0.1,1.2,1.4,0.381,3.7,0.1,0.833,0.2,71.0,0.0,garredi02,NBA,14.8,0.2,1.1,3.5,PG,0.6,2013-14,1.1,1.4,UTA,0.449
0.0,0.0,0.0,0.0,0.0,0.0,2.5,23.0,0.0,0.0,4.8,0.434,11.2,1.9,0.852,2.2,73.0,0.0,garredi01,NBA,31.8,0.0,3.2,11.6,SG,0.0,1969-70,0.0,3.2,LAL,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.5,24.0,0.0,0.0,5.0,0.414,12.0,2.9,0.8690000000000001,3.3,75.0,0.0,garredi01,NBA,31.7,0.0,3.9,12.9,PG,0.0,1970-71,0.0,3.9,BUF,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.3,25.0,0.0,0.0,4.5,0.442,10.1,1.9,0.866,2.2,73.0,0.0,garredi01,NBA,26.1,0.0,3.1,10.8,SG,0.0,1971-72,0.0,3.1,BUF,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.8,26.0,0.0,0.0,4.4,0.419,10.4,1.2,0.873,1.4,78.0,0.0,garredi01,NBA,23.1,0.0,2.8,10.0,SG,0.0,1972-73,0.0,2.7,BUF,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,27.0,0.0,0.6,1.1,0.341,3.2,0.4,0.789,0.5,40.0,0.0,garredi01,NBA,8.2,0.4,1.4,2.5,SG,0.3,1973-74,0.0,1.0,TOT,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,27.0,0.0,0.6,1.3,0.35200000000000004,3.6,0.4,0.769,0.5,25.0,0.0,garredi01,NBA,9.6,0.4,1.6,3.0,SG,0.3,1973-74,0.0,1.0,NYK,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,27.0,0.0,0.6,0.7,0.314,2.3,0.3,0.833,0.4,15.0,0.0,garredi01,NBA,5.8,0.3,1.0,1.8,SG,0.2,1973-74,0.0,0.9,MIL,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,22.0,0.0,0.0,1.5,0.441,3.4,0.6,0.677,0.9,35.0,0.0,garrero01,NBA,6.0,0.0,0.8,3.6,SF,0.0,1972-73,0.0,1.7,CHI,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3,23.0,0.2,1.0,1.7,0.37,4.5,0.5,0.6559999999999999,0.8,41.0,0.0,garrero01,NBA,9.1,0.8,1.0,3.8,SF,0.1,1973-74,0.0,1.7,CHI,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,24.0,0.2,2.4,3.3,0.481,6.8,1.1,0.794,1.4,70.0,0.0,garrero01,NBA,16.9,1.1,1.8,7.6,SF,0.3,1974-75,0.0,3.5,CHI,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3,25.0,0.1,1.3,2.0,0.419,4.7,1.0,0.815,1.2,55.0,0.0,garrero01,NBA,9.8,0.8,1.2,4.9,SF,0.5,1975-76,0.0,2.1,TOT,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,25.0,0.3,3.4,4.1,0.435,9.4,2.7,0.8640000000000001,3.1,14.0,0.0,garrero01,NBA,23.1,1.9,2.3,10.9,SF,0.6,1975-76,0.0,5.4,CHI,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.0,0.1,0.6,1.2,0.402,3.1,0.4,0.7140000000000001,0.5,41.0,0.0,garrero01,NBA,5.3,0.4,0.9,2.9,SF,0.4,1975-76,0.0,1.0,CLE,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4,26.0,0.2,1.2,1.7,0.444,3.9,0.7,0.804,0.8,62.0,0.0,garrero01,NBA,9.6,0.6,1.3,4.1,SF,0.3,1976-77,0.0,1.8,TOT,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,26.0,0.1,1.0,1.4,0.43,3.2,0.6,0.818,0.8,29.0,0.0,garrero01,NBA,7.4,0.3,1.0,3.4,SF,0.2,1976-77,0.0,1.4,CLE,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,26.0,0.2,1.4,2.0,0.452,4.4,0.7,0.7929999999999999,0.9,33.0,0.0,garrero01,NBA,11.6,0.8,1.5,4.7,SF,0.4,1976-77,0.0,2.2,MIL,0.0
2.5,0.509,4.9,0.0,0.0,0.2,3.4,22.0,0.1,1.7,2.5,0.49,5.1,1.4,0.8029999999999999,1.8,71.0,20.0,garrito01,NBA,21.1,0.5,2.0,6.4,SG,1.1,1988-89,1.6,2.2,LAC,0.49
