2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
4.0,0.545,7.3,0.0,0.0,0.1,2.7,27.0,0.3,3.1,4.0,0.539,7.3,1.8,0.767,2.3,63.0,39.0,banksge01,NBA,28.9,1.8,2.7,9.7,SF,0.8,1986-87,1.8,4.9,CHI,0.539
1.9,0.421,4.4,0.3,0.314,1.1,2.2,22.0,0.2,1.3,2.2,0.4,5.5,1.2,0.7559999999999999,1.6,81.0,2.0,banksma01,NBA,17.1,0.4,2.1,5.9,PG,1.1,2003-04,1.5,1.6,BOS,0.431
1.2,0.414,2.8,0.3,0.35600000000000004,0.7,1.9,23.0,0.2,1.2,1.4,0.402,3.5,1.5,0.742,2.0,81.0,2.0,banksma01,NBA,14.1,0.4,1.8,4.6,PG,0.8,2004-05,1.0,1.6,BOS,0.439
3.4,0.486,7.0,0.4,0.349,1.1,3.8,24.0,0.2,1.9,3.8,0.468,8.1,2.0,0.8029999999999999,2.5,58.0,29.0,banksma01,NBA,25.8,0.4,2.8,10.0,PG,0.9,2005-06,2.1,2.3,TOT,0.491
1.5,0.443,3.4,0.3,0.316,1.1,1.8,24.0,0.0,0.8,1.8,0.413,4.4,1.5,0.9,1.7,18.0,1.0,banksma01,NBA,14.9,0.2,2.1,5.5,PG,0.4,2005-06,1.3,1.1,BOS,0.45
4.3,0.494,8.6,0.4,0.364,1.1,4.7,24.0,0.3,2.4,4.7,0.479,9.7,2.3,0.778,2.9,40.0,28.0,banksma01,NBA,30.7,0.5,3.1,12.0,PG,1.2,2005-06,2.4,2.9,MIN,0.5
1.8,0.473,3.7,0.1,0.172,0.6,1.3,25.0,0.1,0.6,1.9,0.429,4.4,1.1,0.8,1.3,45.0,1.0,banksma01,NBA,11.2,0.2,1.6,4.9,PG,0.5,2006-07,0.9,0.8,PHO,0.441
1.3,0.517,2.5,1.1,0.392,2.8,1.7,26.0,0.4,1.1,2.4,0.45,5.3,0.8,0.7709999999999999,1.0,36.0,3.0,banksma01,NBA,15.8,0.1,1.8,6.6,PG,0.4,2007-08,1.0,1.3,TOT,0.555
0.8,0.4320000000000001,1.8,1.0,0.385,2.7,1.0,26.0,0.3,0.7,1.8,0.404,4.5,0.5,0.75,0.7,24.0,1.0,banksma01,NBA,12.9,0.1,1.6,5.2,PG,0.3,2007-08,0.7,0.8,PHO,0.518
2.3,0.6,3.8,1.3,0.405,3.1,3.0,26.0,0.4,2.0,3.5,0.512,6.8,1.3,0.789,1.6,12.0,2.0,banksma01,NBA,21.6,0.1,2.3,9.5,PG,0.5,2007-08,1.8,2.1,MIA,0.604
0.8,0.474,1.7,0.1,0.158,0.9,1.3,27.0,0.1,0.8,1.0,0.368,2.6,0.5,0.611,0.8,22.0,0.0,banksma01,NBA,9.4,0.0,1.2,2.5,PG,0.5,2008-09,0.6,0.8,TOT,0.395
0.8,0.52,1.6,0.1,0.14300000000000002,0.9,1.4,27.0,0.1,0.9,0.9,0.385,2.4,0.6,0.667,0.9,16.0,0.0,banksma01,NBA,10.4,0.0,1.3,2.6,PG,0.6,2008-09,0.7,0.9,MIA,0.41
0.8,0.385,2.2,0.2,0.2,0.8,1.0,27.0,0.0,0.3,1.0,0.333,3.0,0.2,0.333,0.5,6.0,0.0,banksma01,NBA,6.7,0.2,0.8,2.3,PG,0.2,2008-09,0.5,0.5,TOR,0.361
1.5,0.653,2.2,0.3,0.292,1.1,1.2,28.0,0.1,0.9,1.8,0.534,3.3,1.1,0.828,1.3,22.0,0.0,banksma01,NBA,11.1,0.1,1.4,5.0,PG,0.5,2009-10,0.9,1.0,TOR,0.5820000000000001
0.0,0.0,0.7,0.0,0.0,0.0,1.0,29.0,0.0,0.3,0.0,0.0,0.7,2.0,0.75,2.7,3.0,0.0,banksma01,NBA,7.3,0.0,1.3,2.0,PG,0.3,2010-11,0.7,0.3,TOR,0.0
1.1,0.5,2.1,0.0,0.0,0.0,0.5,23.0,0.0,1.9,1.1,0.5,2.1,0.4,0.412,1.1,16.0,0.0,bankswa01,ABA,9.6,1.2,2.1,2.6,0,0.0,1970-71,1.0,3.1,PTC,0.5
2.8,0.47,5.9,0.0,0.0,0.0,0.5,24.0,0.5,3.0,2.8,0.47,5.9,1.2,0.474,2.6,75.0,50.0,bannike01,NBA,18.7,1.4,3.7,6.8,PF,0.5,1984-85,1.9,4.4,NYK,0.47
3.4,0.4920000000000001,6.8,0.0,0.0,0.0,0.6,25.0,0.3,3.3,3.4,0.491,6.8,1.9,0.526,3.6,70.0,15.0,bannike01,NBA,20.1,1.3,3.0,8.6,PF,0.6,1985-86,1.8,4.6,NYK,0.491
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bannike01,0,0.0,0.0,0.0,0.0,0,0.0,1986-87,0.0,0.0,Did Not PlayÂ (other pro leagueâIsrael),0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bannike01,0,0.0,0.0,0.0,0.0,0,0.0,1987-88,0.0,0.0,"Did Not PlayÂ (other pro leagueâIsrael, CBA)",0.0
2.4,0.629,3.9,0.0,0.0,0.1,0.3,28.0,0.2,3.0,2.4,0.611,4.0,3.3,0.5660000000000001,5.9,9.0,2.0,bannike01,NBA,14.4,0.7,1.9,8.2,PF,0.8,1988-89,0.9,3.7,LAC,0.611
