,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
3,2.8,0.46399999999999997,6.1,0.0,0.0,0.0,1.1,25.0,0.5,5.5,2.8,0.461,6.1,1.0,0.598,1.7,48.0,13.0,varejan01,NBA,27.5,2.8,2.8,6.7,C,0.8,2007-08,1.2,8.3,CLE,0.461
4,3.3,0.5379999999999999,6.2,0.0,0.0,0.0,1.0,26.0,0.8,5.1,3.3,0.536,6.2,1.9,0.616,3.1,81.0,42.0,varejan01,NBA,28.5,2.0,3.0,8.6,PF,0.9,2008-09,1.0,7.2,CLE,0.536
5,3.5,0.5760000000000001,6.1,0.0,0.2,0.1,1.1,27.0,0.9,5.1,3.5,0.5720000000000001,6.1,1.5,0.6629999999999999,2.3,76.0,7.0,varejan01,NBA,28.5,2.5,2.9,8.6,PF,0.9,2009-10,0.9,7.6,CLE,0.573
6,3.7,0.5329999999999999,6.9,0.0,0.0,0.1,1.5,28.0,1.2,6.5,3.7,0.528,7.0,1.7,0.667,2.6,31.0,31.0,varejan01,NBA,32.1,3.2,2.8,9.1,C,0.9,2010-11,1.3,9.7,CLE,0.528
7,4.6,0.523,8.7,0.0,0.0,0.2,1.7,29.0,0.7,7.1,4.6,0.514,8.9,1.7,0.672,2.6,25.0,25.0,varejan01,NBA,31.4,4.4,2.5,10.8,C,1.4,2011-12,1.8,11.5,CLE,0.514
8,5.5,0.486,11.4,0.0,0.0,0.2,3.4,30.0,0.6,8.9,5.5,0.478,11.6,3.1,0.755,4.1,25.0,25.0,varejan01,NBA,36.0,5.5,2.7,14.1,C,1.5,2012-13,1.8,14.4,CLE,0.478
9,3.5,0.502,7.0,0.0,0.0,0.1,2.2,31.0,0.6,6.8,3.5,0.495,7.1,1.4,0.6809999999999999,2.1,65.0,29.0,varejan01,NBA,27.7,2.9,2.5,8.4,C,1.1,2013-14,1.1,9.7,CLE,0.495
10,4.3,0.561,7.6,0.0,0.0,0.1,1.3,32.0,0.6,4.3,4.3,0.555,7.7,1.3,0.733,1.7,26.0,26.0,varejan01,NBA,24.5,2.2,2.2,9.8,C,0.7,2014-15,1.3,6.5,CLE,0.555
11,1.0,0.431,2.3,0.0,0.0,0.0,0.7,33.0,0.2,2.0,1.0,0.42700000000000005,2.3,0.6,0.64,0.9,53.0,0.0,varejan01,NBA,9.4,0.7,1.3,2.6,C,0.3,2015-16,0.4,2.7,TOT,0.42700000000000005
12,1.0,0.42700000000000005,2.4,0.0,0.0,0.0,0.6,33.0,0.2,2.2,1.0,0.42100000000000004,2.5,0.5,0.762,0.7,31.0,0.0,varejan01,NBA,10.0,0.8,1.1,2.6,C,0.4,2015-16,0.5,2.9,CLE,0.42100000000000004
13,1.0,0.43799999999999994,2.2,0.0,0.0,0.0,0.7,33.0,0.2,1.7,1.0,0.43799999999999994,2.2,0.7,0.552,1.3,22.0,0.0,varejan01,NBA,8.5,0.6,1.6,2.6,C,0.2,2015-16,0.3,2.3,GSW,0.43799999999999994
14,0.4,0.35700000000000004,1.0,0.0,0.0,0.0,0.7,34.0,0.2,1.1,0.4,0.35700000000000004,1.0,0.6,0.727,0.8,14.0,1.0,varejan01,NBA,6.6,0.9,1.1,1.3,C,0.2,2016-17,0.6,1.9,GSW,0.35700000000000004
0,0.2,0.429,0.5,0.0,0.0,0.0,0.2,24.0,0.2,0.5,0.2,0.429,0.5,0.2,0.5,0.3,13.0,0.0,varnaja01,NBA,4.5,0.2,0.8,0.6,PF,0.1,2012-13,0.5,0.7,TOT,0.429
1,0.4,0.5,0.8,0.0,0.0,0.0,0.2,24.0,0.0,0.4,0.4,0.5,0.8,0.4,0.5,0.8,5.0,0.0,varnaja01,NBA,3.6,0.2,0.2,1.2,PF,0.2,2012-13,0.2,0.6,BOS,0.5
2,0.1,0.33299999999999996,0.4,0.0,0.0,0.0,0.3,24.0,0.3,0.6,0.1,0.33299999999999996,0.4,0.0,0.0,0.0,8.0,0.0,varnaja01,NBA,5.0,0.1,1.1,0.3,PF,0.0,2012-13,0.6,0.8,MIA,0.33299999999999996
3,1.5,0.6,2.5,0.0,0.0,0.0,0.5,25.0,1.2,1.8,1.5,0.6,2.5,1.1,0.519,2.2,24.0,0.0,varnaja01,NBA,14.1,0.8,2.6,4.1,PF,0.4,2013-14,0.4,2.6,TOT,0.6
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,varnaja01,NBA,2.0,0.0,1.0,0.0,PF,0.0,2013-14,0.0,0.0,CHI,0.0
5,1.6,0.6,2.6,0.0,0.0,0.0,0.6,25.0,1.3,1.9,1.6,0.6,2.6,1.2,0.519,2.3,23.0,0.0,varnaja01,NBA,14.7,0.8,2.7,4.3,PF,0.4,2013-14,0.4,2.7,PHI,0.6
0,1.0,0.47600000000000003,2.1,0.4,0.29100000000000004,1.2,2.2,24.0,0.1,0.9,1.4,0.408,3.3,0.5,0.773,0.6,70.0,1.0,vasqugr01,NBA,12.3,0.2,1.2,3.6,SG,0.3,2010-11,1.0,1.0,MEM,0.461
1,2.8,0.469,5.9,0.7,0.319,2.0,5.4,25.0,0.1,2.3,3.4,0.43,7.9,1.5,0.821,1.8,66.0,26.0,vasqugr01,NBA,25.8,0.3,1.9,8.9,SG,0.9,2011-12,2.2,2.6,NOH,0.47100000000000003
2,4.6,0.462,9.9,1.1,0.342,3.1,9.0,26.0,0.1,3.8,5.6,0.433,13.0,1.6,0.805,2.0,78.0,78.0,vasqugr01,NBA,34.4,0.6,2.4,13.9,PG,0.8,2012-13,3.2,4.3,NOH,0.474
3,2.1,0.455,4.7,1.4,0.377,3.7,4.1,27.0,0.1,1.9,3.5,0.42100000000000004,8.3,1.2,0.88,1.4,79.0,23.0,vasqugr01,NBA,22.5,0.3,1.8,9.6,SG-PG,0.4,2013-14,1.6,2.2,TOT,0.504
4,2.7,0.49,5.6,0.9,0.32,2.8,5.3,27.0,0.1,1.6,3.6,0.433,8.3,1.7,0.938,1.8,18.0,18.0,vasqugr01,NBA,25.8,0.3,2.1,9.8,PG,0.3,2013-14,1.5,1.9,SAC,0.48700000000000004
5,2.0,0.442,4.4,1.5,0.389,3.9,3.7,27.0,0.1,2.0,3.5,0.41700000000000004,8.3,1.1,0.855,1.2,61.0,5.0,vasqugr01,NBA,21.5,0.2,1.7,9.5,SG,0.4,2013-14,1.7,2.3,TOR,0.509
6,2.0,0.436,4.6,1.6,0.379,4.3,3.7,28.0,0.1,2.4,3.6,0.408,8.8,0.6,0.758,0.8,82.0,29.0,vasqugr01,NBA,24.3,0.3,2.2,9.5,PG,0.6,2014-15,1.5,2.6,TOR,0.5
7,1.2,0.415,2.8,0.8,0.247,3.2,4.0,29.0,0.0,1.8,2.0,0.326,6.0,1.0,0.846,1.1,23.0,0.0,vasqugr01,NBA,20.0,0.2,1.8,5.7,PG,0.4,2015-16,1.7,2.0,MIL,0.391
8,0.3,0.2,1.7,0.3,0.33299999999999996,1.0,1.7,30.0,0.3,0.7,0.7,0.25,2.7,0.7,0.667,1.0,3.0,0.0,vasqugr01,NBA,13.0,0.0,2.0,2.3,PG,0.3,2016-17,0.3,0.7,BRK,0.313
0,3.8,0.41700000000000004,9.2,0.0,0.0,0.0,3.3,22.0,0.0,0.0,3.8,0.41700000000000004,9.2,2.4,0.72,3.4,77.0,0.0,vaughch01,NBA,24.0,0.0,2.6,10.1,SG,0.0,1962-63,0.0,3.4,STL,0.41700000000000004
1,3.5,0.442,7.9,0.0,0.0,0.0,1.9,23.0,0.0,0.0,3.5,0.442,7.9,1.6,0.723,2.2,68.0,0.0,vaughch01,NBA,19.7,0.0,2.4,8.6,SG,0.0,1963-64,0.0,1.9,STL,0.442
2,4.6,0.424,10.8,0.0,0.0,0.0,2.1,24.0,0.0,0.0,4.6,0.424,10.8,2.4,0.752,3.2,75.0,0.0,vaughch01,NBA,26.2,0.0,2.6,11.6,SG,0.0,1964-65,0.0,2.3,STL,0.424
3,3.3,0.384,8.5,0.0,0.0,0.0,2.5,25.0,0.0,0.0,3.3,0.384,8.5,1.9,0.736,2.6,56.0,0.0,vaughch01,NBA,21.8,0.0,1.8,8.4,PG,0.0,1965-66,0.0,1.9,TOT,0.384
4,3.8,0.375,10.1,0.0,0.0,0.0,1.9,25.0,0.0,0.0,3.8,0.375,10.1,2.4,0.742,3.3,19.0,0.0,vaughch01,NBA,23.4,0.0,2.1,10.0,PG,0.0,1965-66,0.0,2.4,STL,0.375
5,3.0,0.39,7.6,0.0,0.0,0.0,2.8,25.0,0.0,0.0,3.0,0.39,7.6,1.6,0.732,2.2,37.0,0.0,vaughch01,NBA,20.9,0.0,1.6,7.6,PG,0.0,1965-66,0.0,1.7,DET,0.39
6,1.7,0.376,4.4,0.0,0.0,0.0,1.5,26.0,0.0,0.0,1.7,0.376,4.4,1.0,0.6759999999999999,1.5,51.0,0.0,vaughch01,NBA,13.3,0.0,1.1,4.3,SG,0.0,1966-67,0.0,1.3,DET,0.376
