2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.7,0.475,1.5,0.3,0.324,1.0,1.8,30.0,0.1,0.5,1.1,0.413,2.6,0.4,0.875,0.5,65.0,2.0,youngda01,NBA,12.9,0.2,0.6,2.9,PG,0.5,1992-93,0.5,0.7,DET,0.479
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,youngda01,0,0.0,0.0,0.0,0.0,0,0.0,1993-94,0.0,0.0,Did Not PlayÂ (other pro leagueâFrance),0.0
0.6,0.8,0.7,0.7,0.417,1.7,1.7,32.0,0.0,0.6,1.3,0.529,2.4,0.1,1.0,0.1,7.0,0.0,youngda01,NBA,11.0,0.1,1.1,3.4,PG,0.6,1994-95,0.6,0.7,MIL,0.6759999999999999
0.6,0.528,1.2,0.5,0.258,2.1,0.4,19.0,0.1,1.1,1.2,0.353,3.3,0.5,0.552,0.9,31.0,0.0,youngja01,NBA,10.7,0.3,0.7,3.4,SG,0.3,2014-15,0.2,1.4,BOS,0.436
0.2,0.5,0.3,0.2,0.231,0.9,0.3,20.0,0.0,0.8,0.4,0.306,1.2,0.0,0.25,0.1,29.0,0.0,youngja01,NBA,6.9,0.1,0.6,1.0,SG,0.2,2015-16,0.2,0.9,BOS,0.389
0.4,0.565,0.8,0.4,0.343,1.2,0.1,21.0,0.1,0.7,0.9,0.431,2.0,0.2,0.667,0.3,29.0,0.0,youngja01,NBA,7.6,0.2,0.5,2.3,SG,0.3,2016-17,0.1,0.9,BOS,0.534
0.3,0.5,0.7,0.5,0.3,1.7,0.3,22.0,0.0,0.3,0.8,0.35700000000000004,2.3,0.7,0.667,1.0,6.0,0.0,youngja01,NBA,10.2,0.0,0.7,2.8,SG,0.0,2017-18,0.2,0.3,PHI,0.464
1.3,0.423,3.0,0.2,0.217,1.1,1.6,23.0,0.0,1.1,1.5,0.3670000000000001,4.1,0.5,0.8,0.6,41.0,0.0,youngjo01,NBA,9.4,0.1,0.7,3.8,PG,0.4,2015-16,0.8,1.2,IND,0.396
0.6,0.429,1.5,0.2,0.217,0.7,0.5,24.0,0.0,0.5,0.8,0.361,2.2,0.3,0.733,0.5,33.0,0.0,youngjo01,NBA,4.1,0.0,0.2,2.1,PG,0.1,2016-17,0.2,0.5,IND,0.396
1.0,0.458,2.3,0.5,0.379,1.2,0.7,25.0,0.0,1.0,1.5,0.43,3.5,0.4,0.759,0.5,53.0,1.0,youngjo01,NBA,10.5,0.2,0.7,3.9,PG,0.3,2017-18,0.5,1.2,IND,0.4970000000000001
