,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,0,96,101
1,2,Charlotte Hornets,0,127,107
2,3,Washington Bullets,0,131,92
3,4,Golden State Warriors,1,126,122
4,5,Portland Trail Blazers,1,109,115
5,6,Sacramento Kings,1,107,109
6,7,San Antonio Spurs,1,95,106
7,8,Houston Rockets,1,92,99
8,9,Dallas Mavericks,1,119,108
9,10,Milwaukee Bucks,0,109,105
10,11,Milwaukee Bucks,1,85,94
11,12,Atlanta Hawks,0,122,101
12,13,Orlando Magic,1,93,95
13,14,Boston Celtics,0,111,101
14,15,New York Knicks,0,100,90
15,16,Portland Trail Blazers,0,94,96
16,17,Los Angeles Clippers,0,106,115
17,18,Chicago Bulls,1,91,108
18,19,Detroit Pistons,1,103,107
19,20,Seattle SuperSonics,0,97,93
21,21,Houston Rockets,0,124,97
22,22,Philadelphia 76ers,1,115,97
23,23,Sacramento Kings,0,119,108
24,24,Utah Jazz,0,121,104
25,25,Washington Bullets,1,111,107
26,26,Indiana Pacers,0,118,104
27,27,New Jersey Nets,0,114,119
28,28,Detroit Pistons,0,98,89
29,29,Atlanta Hawks,1,114,96
30,30,Los Angeles Lakers,0,106,91
31,31,New York Knicks,1,91,95
32,32,Chicago Bulls,0,117,95
33,33,Minnesota Timberwolves,0,116,93
34,34,Boston Celtics,0,115,121
35,35,New Jersey Nets,1,98,104
36,36,Indiana Pacers,1,132,120
37,37,Atlanta Hawks,0,127,99
38,38,Phoenix Suns,0,123,119
39,39,Los Angeles Clippers,1,100,92
40,40,Denver Nuggets,1,95,97
42,41,Utah Jazz,1,96,113
43,42,Orlando Magic,0,127,113
44,43,Miami Heat,1,95,98
45,44,Golden State Warriors,0,100,90
46,45,Milwaukee Bucks,1,108,100
47,46,Detroit Pistons,0,109,89
48,47,Atlanta Hawks,1,120,109
49,48,Charlotte Hornets,1,107,103
50,49,Orlando Magic,1,87,96
51,50,Milwaukee Bucks,0,120,98
52,51,Chicago Bulls,1,116,111
53,52,Indiana Pacers,0,110,105
54,53,Dallas Mavericks,0,124,97
55,54,Miami Heat,0,102,100
56,55,Los Angeles Lakers,1,114,102
57,56,Phoenix Suns,1,101,94
58,57,Seattle SuperSonics,1,105,108
59,58,Minnesota Timberwolves,1,103,95
60,59,Boston Celtics,1,88,96
61,60,Denver Nuggets,0,122,107
63,61,Charlotte Hornets,0,118,99
64,62,Washington Bullets,1,101,105
65,63,Philadelphia 76ers,0,110,98
66,64,New York Knicks,0,95,115
67,65,Miami Heat,1,91,96
68,66,San Antonio Spurs,0,127,90
69,67,Philadelphia 76ers,1,103,84
70,68,Detroit Pistons,1,78,91
71,69,New York Knicks,1,83,91
72,70,Charlotte Hornets,1,113,114
73,71,New Jersey Nets,0,105,99
74,72,Miami Heat,0,115,100
75,73,Washington Bullets,0,114,95
76,74,New Jersey Nets,1,100,99
77,75,Atlanta Hawks,1,112,109
78,76,Milwaukee Bucks,1,108,93
79,77,Orlando Magic,0,113,110
80,78,Chicago Bulls,0,103,94
81,79,Detroit Pistons,0,105,81
82,80,Indiana Pacers,1,111,95
84,81,Boston Celtics,1,99,107
85,82,Philadelphia 76ers,0,107,103
