,G,Opponent,Home_away,Tm,Opp
0,1,Toronto Raptors,0,96,104
1,2,Detroit Pistons,1,105,89
2,3,Indiana Pacers,1,91,98
3,4,New Jersey Nets,0,98,82
4,5,Charlotte Bobcats,0,115,101
5,6,Toronto Raptors,1,77,92
6,7,Minnesota Timberwolves,1,98,87
7,8,Portland Trail Blazers,1,78,98
8,9,Utah Jazz,1,105,113
9,10,Phoenix Suns,1,101,90
10,11,Los Angeles Lakers,1,92,97
11,12,Charlotte Bobcats,1,102,94
12,13,Golden State Warriors,0,95,105
13,14,Chicago Bulls,0,75,114
14,15,Atlanta Hawks,1,94,121
15,16,Miami Heat,1,85,92
16,17,New York Knicks,0,91,81
17,18,New Jersey Nets,0,96,99
18,19,Boston Celtics,1,88,87
19,20,Boston Celtics,0,90,93
21,21,Orlando Magic,1,94,102
22,22,Dallas Mavericks,0,91,88
23,23,Miami Heat,1,91,107
24,24,Los Angeles Clippers,0,99,92
25,25,Milwaukee Bucks,0,112,113
26,26,Philadelphia 76ers,0,84,99
27,27,Indiana Pacers,0,98,87
28,28,Miami Heat,0,87,111
29,29,Sacramento Kings,0,93,92
30,30,Detroit Pistons,0,101,100
31,31,New Orleans Hornets,0,84,89
32,32,Boston Celtics,0,83,86
33,33,New York Knicks,1,103,120
34,34,Chicago Bulls,0,91,112
35,35,Washington Wizards,1,98,101
36,36,Utah Jazz,0,100,109
37,37,Denver Nuggets,1,100,99
38,38,Oklahoma City Thunder,1,96,90
39,39,Houston Rockets,0,118,107
40,40,Toronto Raptors,0,88,96
42,41,Milwaukee Bucks,1,105,115
43,42,Atlanta Hawks,0,87,103
44,43,New Jersey Nets,1,105,100
45,44,Atlanta Hawks,1,102,103
46,45,Orlando Magic,1,80,93
47,46,Phoenix Suns,0,83,108
48,47,Philadelphia 76ers,1,85,103
49,48,Detroit Pistons,0,75,87
50,49,Milwaukee Bucks,0,84,121
51,50,New York Knicks,1,75,91
52,51,San Antonio Spurs,0,90,125
53,52,Milwaukee Bucks,1,98,107
54,53,Toronto Raptors,1,84,80
55,54,New Jersey Nets,1,117,122
56,55,Charlotte Bobcats,0,103,90
57,56,Indiana Pacers,0,98,104
58,57,Indiana Pacers,1,83,102
59,58,Washington Wizards,1,98,89
60,59,Orlando Magic,0,84,100
61,60,Detroit Pistons,1,77,116
63,61,Philadelphia 76ers,0,87,103
64,62,New York Knicks,0,98,90
65,63,San Antonio Spurs,1,98,114
66,64,Memphis Grizzlies,1,101,109
67,65,Washington Wizards,0,85,96
68,66,Chicago Bulls,1,75,107
