,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2013-10-30,25-177,NOP,,IND,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2013-11-01,25-179,NOP,@,ORL,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2013-11-02,25-180,NOP,,CHA,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2013-11-05,25-183,NOP,,PHO,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2013-11-06,25-184,NOP,@,MEM,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,,2013-11-08,25-186,NOP,,LAL,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,,2013-11-10,25-188,NOP,@,PHO,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2013-11-12,25-190,NOP,@,LAL,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2013-11-13,25-191,NOP,@,UTA,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
9,10,1,2013-11-16,25-194,NOP,,PHI,W (+37),0,26:35,10,16,.625,6,10,.600,0,0,,0,1,1,0,1,0,1,2,26,18.3,+13
10,11,2,2013-11-20,25-198,NOP,,UTA,W (+7),0,33:03,6,9,.667,4,6,.667,3,3,1.000,2,3,5,0,0,1,1,1,19,16.7,+18
11,12,3,2013-11-22,25-200,NOP,,CLE,W (+4),0,31:27,4,10,.400,3,5,.600,2,2,1.000,0,3,3,0,1,1,0,0,13,10.2,+5
12,13,4,2013-11-25,25-203,NOP,@,SAS,L (-19),0,29:04,6,15,.400,1,5,.200,4,4,1.000,2,1,3,0,0,0,0,2,17,9.8,-20
13,14,5,2013-11-26,25-204,NOP,,GSW,L (-1),0,36:44,8,17,.471,3,6,.500,2,2,1.000,4,8,12,1,0,0,2,4,21,14.6,-8
14,15,6,2013-11-29,25-207,NOP,@,PHI,W (+16),0,25:55,7,16,.438,4,9,.444,0,0,,3,5,8,2,0,0,2,3,18,11.4,+8
15,16,7,2013-12-01,25-209,NOP,@,NYK,W (+4),0,35:39,11,21,.524,7,11,.636,2,2,1.000,4,2,6,0,0,0,0,2,31,23.3,+15
16,17,8,2013-12-02,25-210,NOP,@,CHI,W (+3),1,56:30,12,20,.600,7,11,.636,5,5,1.000,4,2,6,0,0,1,1,4,36,28.3,+5
17,18,9,2013-12-04,25-212,NOP,,DAL,L (-3),1,41:51,6,19,.316,1,5,.200,5,5,1.000,7,7,14,1,0,0,1,2,18,13.0,+10
18,19,10,2013-12-06,25-214,NOP,,OKC,L (-14),1,38:32,5,17,.294,1,6,.167,7,8,.875,3,1,4,2,2,1,2,0,18,12.2,-15
19,20,11,2013-12-11,25-219,NOP,,DET,W (+5),1,35:49,6,18,.333,4,12,.333,6,6,1.000,1,0,1,1,1,1,0,4,22,13.3,+6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,12,2013-12-13,25-221,NOP,,MEM,W (+6),1,39:26,7,19,.368,2,9,.222,2,2,1.000,3,4,7,2,0,1,1,2,18,11.1,+14
22,22,13,2013-12-15,25-223,NOP,@,DEN,L (-9),1,41:09,10,21,.476,2,7,.286,4,4,1.000,2,4,6,1,2,0,1,1,26,19.2,-12
23,23,14,2013-12-17,25-225,NOP,@,GSW,L (-11),1,29:22,6,16,.375,2,6,.333,7,7,1.000,3,3,6,0,0,0,0,2,21,14.4,-19
24,24,15,2013-12-18,25-226,NOP,@,LAC,L (-13),1,41:23,7,21,.333,3,9,.333,0,0,,5,4,9,1,0,0,2,2,17,7.7,-6
25,25,16,2013-12-21,25-229,NOP,@,POR,L (-3),1,41:33,7,17,.412,4,8,.500,0,0,,4,4,8,2,1,0,1,0,18,14.3,-5
26,26,17,2013-12-23,25-231,NOP,@,SAC,W (+13),1,27:25,3,9,.333,2,4,.500,0,0,,3,3,6,0,1,0,2,5,8,2.9,+16
27,27,18,2013-12-27,25-235,NOP,,DEN,W (+16),1,39:30,6,19,.316,4,11,.364,0,0,,5,5,10,1,0,0,1,1,16,9.4,+7
28,28,19,2013-12-28,25-236,NOP,@,HOU,L (-9),1,38:20,8,15,.533,3,8,.375,3,4,.750,4,8,12,1,1,0,1,4,22,18.6,-3
29,29,20,2013-12-30,25-238,NOP,,POR,W (+2),1,40:04,5,11,.455,1,5,.200,2,2,1.000,0,3,3,0,0,1,0,1,13,8.5,+6
30,30,21,2014-01-01,25-240,NOP,@,MIN,L (-12),1,40:29,10,17,.588,2,8,.250,3,3,1.000,4,1,5,2,0,0,0,3,25,20.4,-8
31,31,22,2014-01-03,25-242,NOP,@,BOS,W (+3),0,24:54,5,11,.455,1,3,.333,2,3,.667,3,4,7,0,0,0,1,2,13,8.4,+3
32,32,,2014-01-04,25-243,NOP,@,IND,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,,2014-01-07,25-246,NOP,@,MIA,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
34,34,,2014-01-08,25-247,NOP,,WAS,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
35,35,,2014-01-10,25-249,NOP,,DAL,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
36,36,,2014-01-11,25-250,NOP,@,DAL,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
37,37,,2014-01-13,25-252,NOP,,SAS,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
38,38,,2014-01-15,25-254,NOP,,HOU,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
