,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
38,38,38,1999-04-15,24-163,SAC,,SEA,L (-1),1,34:00,5,10,.500,0,0,,1,2,.500,4,1,5,1,0,0,2,5,11,5.4
39,39,39,1999-04-17,24-165,SAC,,DEN,W (+22),1,34:00,7,16,.438,0,2,.000,3,4,.750,2,1,3,2,1,2,3,4,17,9.1
40,40,40,1999-04-19,24-167,SAC,@,LAC,W (+4),1,37:00,6,13,.462,0,0,,0,0,,3,6,9,4,0,1,1,1,12,11.3
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,1999-04-21,24-169,SAC,,GSW,W (+9),1,23:00,2,12,.167,0,0,,4,7,.571,4,2,6,0,1,1,0,3,8,3.1
43,42,42,1999-04-23,24-171,SAC,,MIN,W (+8),1,15:00,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,2,2,0,-2.5
44,43,43,1999-04-24,24-172,SAC,,DAL,W (+3),1,23:00,2,6,.333,0,0,,0,2,.000,0,3,3,0,2,0,1,2,4,0.9
45,44,44,1999-04-26,24-174,SAC,@,GSW,L (-25),1,33:00,7,11,.636,1,1,1.000,1,2,.500,3,2,5,2,1,2,2,4,16,13.6
46,45,45,1999-04-27,24-175,SAC,,SAS,W (+4),1,17:00,3,10,.300,0,0,,2,2,1.000,0,2,2,0,0,0,0,4,8,1.2
47,46,46,1999-04-29,24-177,SAC,,LAC,W (+22),1,21:00,7,14,.500,0,1,.000,5,5,1.000,3,6,9,1,2,0,3,5,19,13.6
48,47,47,1999-05-02,24-180,SAC,,PHO,W (+11),1,20:00,1,7,.143,0,0,,2,2,1.000,3,0,3,1,0,0,0,0,4,2.3
49,48,48,1999-05-03,24-181,SAC,@,DEN,W (+8),1,13:00,1,6,.167,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,1,4,1.2
50,49,49,1999-05-05,24-183,SAC,,VAN,W (+4),1,14:00,2,4,.500,0,0,,1,1,1.000,0,1,1,1,0,0,1,4,5,1.4
