,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
36,36,,2015-01-06,21-108,SAS,,DET,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
37,37,24,2015-01-09,21-111,SAS,,PHO,W (+5),0,3:21,0,0,,0,0,,0,0,,0,0,0,2,1,0,2,0,0,0.4,+6
38,38,25,2015-01-10,21-112,SAS,@,MIN,W (+15),0,2:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
39,39,26,2015-01-13,21-115,SAS,@,WAS,L (-8),0,0:37,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,+1
40,40,,2015-01-14,21-116,SAS,@,CHO,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,27,2015-01-16,21-118,SAS,,POR,W (+14),0,2:26,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-5
43,42,,2015-01-18,21-120,SAS,,UTA,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
44,43,,2015-01-20,21-122,SAS,@,DEN,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
45,44,,2015-01-22,21-124,SAS,@,CHI,L (-23),Inactive,,,,,,,,,,,,,,,,,,,,,
46,45,,2015-01-23,21-125,SAS,,LAL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
47,46,,2015-01-25,21-127,SAS,,MIL,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
48,47,,2015-01-28,21-130,SAS,,CHO,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,,2015-01-31,21-133,SAS,,LAC,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
50,49,,2015-02-04,21-137,SAS,,ORL,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
51,50,,2015-02-06,21-139,SAS,,MIA,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
52,51,,2015-02-08,21-141,SAS,@,TOR,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
53,52,,2015-02-09,21-142,SAS,@,IND,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
54,53,,2015-02-11,21-144,SAS,@,DET,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
55,54,,2015-02-19,21-152,SAS,@,LAC,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
56,55,,2015-02-20,21-153,SAS,@,GSW,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
57,56,,2015-02-23,21-156,SAS,@,UTA,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
58,57,,2015-02-25,21-158,SAS,@,POR,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
59,58,,2015-02-27,21-160,SAS,@,SAC,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
60,59,,2015-02-28,21-161,SAS,@,PHO,W (+27),Inactive,,,,,,,,,,,,,,,,,,,,,
61,60,,2015-03-04,21-165,SAS,,SAC,W (+27),Inactive,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2015-03-06,21-167,SAS,,DEN,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2015-03-08,21-169,SAS,,CHI,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2015-03-10,21-171,SAS,,TOR,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2015-03-12,21-173,SAS,,CLE,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2015-03-15,21-176,SAS,,MIN,W (+26),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2015-03-17,21-178,SAS,@,NYK,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
69,67,28,2015-03-18,21-179,SAS,@,MIL,W (+11),0,1:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
70,68,29,2015-03-20,21-181,SAS,,BOS,W (+12),0,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
71,69,30,2015-03-22,21-183,SAS,@,ATL,W (+19),0,3:20,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-2
72,70,,2015-03-24,21-185,SAS,@,DAL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2015-03-25,21-186,SAS,,OKC,W (+39),Inactive,,,,,,,,,,,,,,,,,,,,,
74,72,,2015-03-27,21-188,SAS,,DAL,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
75,73,,2015-03-29,21-190,SAS,,MEM,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
76,74,,2015-03-31,21-192,SAS,@,MIA,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
77,75,,2015-04-01,21-193,SAS,@,ORL,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
78,76,,2015-04-03,21-195,SAS,,DEN,W (+30),Inactive,,,,,,,,,,,,,,,,,,,,,
79,77,,2015-04-05,21-197,SAS,,GSW,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
80,78,,2015-04-07,21-199,SAS,@,OKC,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
81,79,31,2015-04-08,21-200,SAS,,HOU,W (+12),0,6:16,1,4,.250,0,0,,0,0,,0,1,1,0,1,0,0,0,2,0.9,-7
82,80,,2015-04-10,21-202,SAS,@,HOU,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,32,2015-04-12,21-204,SAS,,PHO,W (+16),0,6:34,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,0,2,0,0.1,-4
85,82,33,2015-04-15,21-207,SAS,@,NOP,L (-5),0,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
