4,tormobu01c,1975-76,38,NBA,ATL,8,1,7,0.125,-3,5,0,0,0,0
9,tormobu01c,Career,0,NBA,0,8,1,7,0.125,-3,0,0,0,0,0
0,tarkaje99c,1992-93,62,NBA,SAS,20,9,11,0.45,-1,2,0,0,0,0
1,tarkaje99c,Career,0,NBA,0,20,9,11,0.45,-1,0,0,0,0,0
1,theusre01c,2008-09,51,NBA,SAC,24,6,18,0.25,-6,5,0,0,0,0
6,thornro01c,1981-82,40,NBA,CHI,30,15,15,0.5,0,5,0,0,0,0
9,tomjaru01c,1991-92,43,NBA,HOU,30,16,14,0.533,1,3,0,0,0,0
4,toddji99c,1999-00,0,NBA,LAC,37,4,33,0.108,-14.5,7,0,0,0,0
15,toddji99c,Career,0,NBA,0,37,4,33,0.108,-14.5,0,0,0,0,0
0,todormi01c,1950-51,27,NBA,TRI,42,14,28,0.333,-7,5,0,0,0,0
1,todormi01c,Career,0,NBA,0,42,14,28,0.333,-7,0,0,0,0,0
21,tomjaru01c,2004-05,56,NBA,LAL,43,24,19,0.558,2.5,4,0,0,0,0
3,thornro01c,1975-76,34,ABA,SSL,47,20,27,0.426,-3.5,6,0,0,0,0
16,tomjaru01c,1998-99,50,NBA,HOU,50,31,19,0.62,6,3,4,1,3,0.25
1,toddro99c,1971-72,0,NBA,POR,56,12,44,0.214,-16,5,0,0,0,0
6,trianja99c,2008-09,50,NBA,TOR,65,25,40,0.385,-7.5,4,0,0,0,0
21,thiboto99c,2011-12,54,NBA,CHI,66,50,16,0.758,17,1,6,2,4,0.333
0,tapsced99c,2008-09,0,NBA,WAS,71,18,53,0.254,-17.5,5,0,0,0,0
1,tapsced99c,Career,0,NBA,0,71,18,53,0.254,-17.5,0,0,0,0,0
7,thornro01c,Career,0,TOT,0,77,35,42,0.455,-3.5,0,0,0,0,0
15,trianja99c,2017-18,59,NBA,PHO,79,21,58,0.266,-18.5,5,0,0,0,0
0,theusre01c,2007-08,50,NBA,SAC,82,38,44,0.463,-3,4,0,0,0,0
20,thiboto99c,2010-11,53,NBA,CHI,82,62,20,0.756,21,1,16,9,7,0.563
22,thiboto99c,2012-13,55,NBA,CHI,82,45,37,0.549,4,2,12,5,7,0.417
23,thiboto99c,2013-14,56,NBA,CHI,82,48,34,0.585,7,2,5,1,4,0.2
24,thiboto99c,2014-15,57,NBA,CHI,82,50,32,0.61,9,2,12,6,6,0.5
25,thiboto99c,2016-17,59,NBA,MIN,82,31,51,0.378,-10,5,0,0,0,0
26,thiboto99c,2017-18,60,NBA,MIN,82,47,35,0.573,6,4,5,1,4,0.2
0,thomais01c,2000-01,39,NBA,IND,82,41,41,0.5,0,4,4,1,3,0.25
1,thomais01c,2001-02,40,NBA,IND,82,42,40,0.512,1,4,5,2,3,0.4
2,thomais01c,2002-03,41,NBA,IND,82,48,34,0.585,7,2,6,2,4,0.333
3,thomais01c,2006-07,45,NBA,NYK,82,33,49,0.402,-8,4,0,0,0,0
4,thomais01c,2007-08,46,NBA,NYK,82,23,59,0.28,-18,5,0,0,0,0
0,toddro99c,1970-71,0,NBA,POR,82,29,53,0.354,-12,5,0,0,0,0
10,tomjaru01c,1992-93,44,NBA,HOU,82,55,27,0.671,14,1,12,6,6,0.5
11,tomjaru01c,1993-94,45,NBA,HOU,82,58,24,0.707,17,1,23,15,8,0.652
12,tomjaru01c,1994-95,46,NBA,HOU,82,47,35,0.573,6,3,22,15,7,0.682
13,tomjaru01c,1995-96,47,NBA,HOU,82,48,34,0.585,7,3,8,3,5,0.375
14,tomjaru01c,1996-97,48,NBA,HOU,82,57,25,0.695,16,2,16,9,7,0.563
15,tomjaru01c,1997-98,49,NBA,HOU,82,41,41,0.5,0,4,5,2,3,0.4
17,tomjaru01c,1999-00,51,NBA,HOU,82,34,48,0.415,-7,6,0,0,0,0
18,tomjaru01c,2000-01,52,NBA,HOU,82,45,37,0.549,4,5,0,0,0,0
19,tomjaru01c,2001-02,53,NBA,HOU,82,28,54,0.341,-13,5,0,0,0,0
20,tomjaru01c,2002-03,54,NBA,HOU,82,43,39,0.524,2,5,0,0,0,0
7,trianja99c,2009-10,51,NBA,TOR,82,40,42,0.488,-1,2,0,0,0,0
8,trianja99c,2010-11,52,NBA,TOR,82,22,60,0.268,-19,5,0,0,0,0
4,theusre01c,Career,0,NBA,0,106,44,62,0.415,-9,0,0,0,0,0
2,toddro99c,Career,0,NBA,0,138,41,97,0.297,-28,0,0,0,0,0
16,trianja99c,Career,0,NBA,0,308,108,200,0.351,-46,0,0,0,0,0
5,thomais01c,Career,0,NBA,0,410,187,223,0.456,-18,0,15,5,10,0.333
27,thiboto99c,Career,0,NBA,0,558,333,225,0.597,54,0,56,24,32,0.429
22,tomjaru01c,Career,0,NBA,0,943,527,416,0.559,55.5,0,90,51,39,0.567
