,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
44,43,,2016-01-18,21-194,MEM,,NOP,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
45,44,,2016-01-21,21-197,MEM,@,DEN,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
46,45,,2016-01-23,21-199,MEM,@,MIN,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
47,46,,2016-01-25,21-201,MEM,,ORL,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
48,47,,2016-01-28,21-204,MEM,,MIL,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,,2016-01-30,21-206,MEM,,SAC,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
50,49,,2016-02-01,21-208,MEM,@,NOP,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
51,50,,2016-02-05,21-212,MEM,@,NYK,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
52,51,,2016-02-06,21-213,MEM,,DAL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
53,52,,2016-02-08,21-215,MEM,,POR,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
54,53,,2016-02-10,21-217,MEM,@,BRK,W (+19),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,54,,2016-02-19,21-226,MEM,,MIN,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
56,55,,2016-02-21,21-228,MEM,@,TOR,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
57,56,,2016-02-24,21-231,MEM,,LAL,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
58,57,,2016-02-26,21-233,MEM,@,LAL,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
59,58,,2016-02-27,21-234,MEM,@,PHO,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
60,59,,2016-02-29,21-236,MEM,@,DEN,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
61,60,,2016-03-02,21-238,MEM,,SAC,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2016-03-04,21-240,MEM,,UTA,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2016-03-06,21-242,MEM,,PHO,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2016-03-07,21-243,MEM,@,CLE,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2016-03-09,21-245,MEM,@,BOS,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2016-03-11,21-247,MEM,,NOP,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2016-03-12,21-248,MEM,@,ATL,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
69,67,,2016-03-14,21-250,MEM,@,HOU,L (-49),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2016-03-16,21-252,MEM,,MIN,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
71,69,,2016-03-17,21-253,MEM,@,MIL,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2016-03-19,21-255,MEM,,LAC,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2016-03-21,21-257,MEM,@,PHO,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
74,72,,2016-03-22,21-258,MEM,@,LAL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
75,73,,2016-03-25,21-261,MEM,@,SAS,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
76,74,,2016-03-28,21-264,MEM,,SAS,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
77,75,,2016-03-30,21-266,MEM,,DEN,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
78,76,,2016-04-01,21-268,MEM,,TOR,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
79,77,,2016-04-03,21-270,MEM,@,ORL,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
80,78,,2016-04-05,21-272,MEM,,CHI,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
81,79,,2016-04-08,21-275,MEM,@,DAL,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
82,80,,2016-04-09,21-276,MEM,,GSW,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,,2016-04-12,21-279,MEM,@,LAC,L (-26),Did Not Play,,,,,,,,,,,,,,,,,,,,,
85,82,,2016-04-13,21-280,MEM,@,GSW,L (-21),Did Not Play,,,,,,,,,,,,,,,,,,,,,
