,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
40,40,14,2013-01-18,22-104,TOR,@,PHI,L (-7),0,14:50,2,3,.667,0,0,,0,0,,2,1,3,0,0,1,1,5,4,2.1,+11
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,15,2013-01-20,22-106,TOR,,LAL,W (+5),0,8:20,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,2,1.6,+1
43,42,16,2013-01-23,22-109,TOR,@,MIA,L (-7),0,4:15,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,+3
44,43,,2013-01-24,22-110,TOR,@,ORL,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,44,17,2013-01-26,22-112,TOR,,CLE,L (-1),0,11:51,2,4,.500,0,0,,0,0,,0,0,0,0,0,2,1,3,4,1.2,-1
46,45,,2013-01-28,22-114,TOR,,GSW,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,46,18,2013-01-30,22-116,TOR,@,ATL,L (-1),0,6:43,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,+3
48,47,19,2013-02-01,22-118,TOR,,LAC,W (+25),0,2:15,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,-0.2,-2
49,48,,2013-02-03,22-120,TOR,,MIA,L (-15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,49,,2013-02-06,22-123,TOR,,BOS,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,50,,2013-02-08,22-125,TOR,@,IND,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
52,51,,2013-02-10,22-127,TOR,,NOH,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,52,,2013-02-12,22-129,TOR,,DEN,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
54,53,,2013-02-13,22-130,TOR,@,NYK,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,54,,2013-02-19,22-136,TOR,@,WAS,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
56,55,,2013-02-20,22-137,TOR,,MEM,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,56,,2013-02-22,22-139,TOR,,NYK,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
58,57,,2013-02-25,22-142,TOR,,WAS,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
59,58,,2013-02-27,22-144,TOR,@,CLE,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
60,59,20,2013-03-01,22-146,TOR,,IND,L (-12),0,5:21,2,2,1.000,0,0,,2,2,1.000,1,0,1,0,1,1,0,4,6,6.2,+6
61,60,,2013-03-02,22-147,TOR,@,MIL,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2013-03-04,22-149,TOR,@,GSW,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2013-03-06,22-151,TOR,@,PHO,W (+27),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2013-03-08,22-153,TOR,@,LAL,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2013-03-10,22-155,TOR,,CLE,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2013-03-13,22-158,TOR,@,BOS,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2013-03-15,22-160,TOR,,CHA,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
69,67,,2013-03-17,22-162,TOR,,MIA,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2013-03-20,22-165,TOR,@,CHA,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
71,69,,2013-03-22,22-167,TOR,,NYK,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2013-03-23,22-168,TOR,@,NYK,L (-26),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2013-03-27,22-172,TOR,,ATL,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
74,72,,2013-03-29,22-174,TOR,@,DET,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
75,73,,2013-03-31,22-176,TOR,@,WAS,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
76,74,21,2013-04-01,22-177,TOR,,DET,L (-10),0,7:44,2,3,.667,0,0,,0,0,,1,2,3,1,1,0,0,2,4,4.9,+1
77,75,22,2013-04-03,22-179,TOR,,WAS,W (+10),0,19:54,4,5,.800,0,0,,0,0,,1,2,3,0,0,1,2,5,8,4.1,-4
78,76,23,2013-04-05,22-181,TOR,@,MIN,W (+2),0,7:23,0,0,,0,0,,0,0,,0,1,1,1,1,0,1,0,0,1.0,+6
79,77,24,2013-04-06,22-182,TOR,@,MIL,L (-17),0,21:00,4,7,.571,1,1,1.000,4,4,1.000,0,2,2,2,2,0,1,3,13,11.5,+8
80,78,25,2013-04-09,22-185,TOR,@,CHI,W (+3),0,27:12,2,5,.400,0,0,,4,4,1.000,1,5,6,1,1,1,1,3,8,7.7,+1
81,79,26,2013-04-12,22-188,TOR,,CHI,W (+9),0,34:57,3,5,.600,0,0,,4,6,.667,4,5,9,0,1,3,0,2,10,13.5,+21
82,80,27,2013-04-14,22-190,TOR,,BRK,W (+6),0,22:43,2,4,.500,0,0,,0,0,,2,2,4,2,0,0,2,1,4,3.0,-2
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,28,2013-04-16,22-192,TOR,@,ATL,W (+17),0,22:00,2,5,.400,0,1,.000,1,2,.500,2,5,7,1,0,1,1,2,5,4.4,+7
85,82,29,2013-04-17,22-193,TOR,,BOS,W (+24),0,25:26,2,4,.500,0,0,,0,2,.000,0,6,6,1,0,0,1,2,4,1.9,+9
