3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,0,2,38-341,0,7,24/01/2002,18,0.621,29,4,0.571,7,39,1,31.1,jordami01,40:00:00,1,CLE,2,40,39,2,0,8,WAS,0,W (+9)
0,0,0,2,38-342,0,3,16/03/2002,2,1,2,1,0.5,2,65,0,3.9,portete01,17:00,0,BOS,1,5,65,0,2,3,SAS,0,W (+7)
0,0,0,7,38-343,0,2,26/01/2002,17,0.567,30,7,0.778,9,40,1,32.1,jordami01,40:00:00,2,PHO,2,41,40,2,2,4,WAS,0,W (+10)
0,0,0,7,38-346,0,5,29/01/2002,13,0.433,30,6,0.75,8,41,1,20.8,jordami01,42:00:00,0,DET,0,32,41,2,3,5,WAS,0,L (-3)
0,0,1,6,38-346,0,3,20/03/2002,2,0.4,5,0,0,0,66,0,2.4,portete01,21:00,0,LAL,0,4,66,0,4,3,SAS,0,W (+18)
1,0.25,4,1,38-347,0,3,21/03/2002,3,0.375,8,2,1,2,67,0,6,portete01,19:00,0,DAL,3,9,67,1,0,3,SAS,@,W (+3)
0,0,1,8,38-348,0,4,31/01/2002,11,0.407,27,4,1,4,42,1,16,jordami01,40:00:00,1,CLE,0,26,42,1,4,5,WAS,@,W (+1)
0,0,1,8,38-349,2,4,01/02/2002,10,0.417,24,8,0.8,10,43,1,22.8,jordami01,38:00:00,0,ATL,2,28,43,2,1,4,WAS,0,W (+7)
0,0,0,0,38-349,0,0,23/03/2002,0,0,1,0,0,0,68,0,-0.7,portete01,1:00,0,MIA,0,0,68,0,0,0,SAS,0,W (+10)
1,1,1,6,38-351,0,4,03/02/2002,11,0.579,19,0,0,0,44,1,19.4,jordami01,41:00:00,1,IND,2,23,44,0,0,5,WAS,0,W (+20)
0,0,0,0,38-352,0,3,08/01/2002,4,0.444,9,0,0,0,25,0,4.4,olajuha01,14:00,0,MEM,2,8,25,2,1,3,TOR,@,L (-3)
0,0,1,5,38-353,0,6,05/02/2002,10,0.476,21,3,0.75,4,45,1,14.7,jordami01,40:00:00,1,TOR,3,23,45,0,2,7,WAS,0,W (+5)
0,0,0,1,38-353,1,9,09/01/2002,2,0.333,6,0,0,0,26,1,3.1,olajuha01,27:00:00,0,CHI,4,4,26,1,1,9,TOR,@,W (+12)
0,0,1,9,38-355,0,4,07/02/2002,12,0.4,30,1,1,1,46,1,16.9,jordami01,41:00:00,2,SAC,2,25,46,1,1,6,WAS,0,W (+7)
0,0,0,1,38-355,3,6,11/01/2002,7,0.636,11,2,0.667,3,27,1,14.2,olajuha01,33:00:00,5,ATL,4,16,27,3,6,11,TOR,0,W (+3)
