,+/-,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,0,0,0,4,27-328,0,3,03/11/2004,8,0.727,11,2,1,2,1,1,14.8,abdursh01,29:00:00,2,GSW,2,18,1,1,4,5,POR,@,W (+3)
1,13,0,0,0,1,27-330,2,6,05/11/2004,8,0.471,17,6,0.857,7,2,1,18,abdursh01,44:00:00,2,LAC,3,22,2,5,4,8,POR,0,W (+13)
2,-2,0,0,0,0,27-332,0,3,07/11/2004,7,0.538,13,2,1,2,3,1,11.2,abdursh01,29:00:00,2,TOR,2,16,3,1,1,5,POR,@,L (-4)
3,-3,0,0,1,0,27-334,0,7,09/11/2004,5,0.313,16,3,0.75,4,4,1,5.2,abdursh01,39:00:00,5,NJN,2,13,4,0,3,12,POR,@,L (-4)
6,-13,0,0,0,1,27-342,2,4,17/11/2004,4,0.667,6,2,1,2,7,1,10.5,abdursh01,24:00:00,0,MEM,3,10,7,1,0,4,POR,0,L (-19)
8,-1,0,0,0,2,27-346,0,4,21/11/2004,2,0.333,6,6,1,6,9,1,8.4,abdursh01,38:00:00,2,HOU,3,10,9,0,1,6,POR,0,L (-4)
9,7,0,0,0,2,27-348,1,5,23/11/2004,4,0.5,8,8,1,8,10,1,16.9,abdursh01,27:00:00,3,MIA,2,16,10,0,0,8,POR,@,W (+12)
10,8,0,0,0,0,27-349,0,9,24/11/2004,6,0.5,12,0,0,0,11,1,8.4,abdursh01,34:00:00,5,ORL,2,12,11,0,3,14,POR,@,W (+6)
11,-10,0,0,2,2,27-351,1,6,26/11/2004,5,0.417,12,2,1,2,12,1,6.9,abdursh01,32:00:00,0,DAL,4,12,12,2,3,6,POR,@,L (-9)
12,10,0,0,0,0,27-353,1,5,28/11/2004,4,0.364,11,9,1,9,13,1,14.4,abdursh01,34:00:00,5,NJN,3,17,13,1,2,10,POR,0,W (+12)
15,-5,0,0,0,3,27-360,1,8,05/12/2004,7,0.636,11,1,1,1,16,1,13.8,abdursh01,35:00:00,3,PHO,4,15,16,3,5,11,POR,0,L (-22)
17,-6,0,0,0,2,27-365,0,5,10/12/2004,7,0.778,9,5,0.714,7,18,1,16.2,abdursh01,47:00:00,2,UTA,2,19,18,2,4,7,POR,@,L (-5)
19,-20,0,0,0,3,28-003,3,3,14/12/2004,7,0.636,11,1,0.5,2,20,1,14.8,abdursh01,35:00:00,2,MIN,1,15,20,2,3,5,POR,@,L (-11)
21,-22,0,0,0,1,28-019,0,5,30/12/2004,5,0.333,15,4,1,4,21,0,7.6,abdursh01,31:00:00,5,SAS,4,14,21,0,2,10,POR,0,L (-34)
22,9,0,0,0,2,28-021,1,7,01/01/2005,10,0.714,14,6,0.857,7,22,1,25.2,abdursh01,46:00:00,2,GSW,3,26,22,2,1,9,POR,0,W (+9)
23,-19,0,0,0,0,28-022,0,6,02/01/2005,6,0.545,11,2,0.4,5,23,1,5.7,abdursh01,35:00:00,4,PHO,6,14,23,1,5,10,POR,@,L (-19)
24,1,0,0,2,1,28-074,0,3,23/02/2005,5,0.5,10,6,0.667,9,24,0,10.7,abdursh01,27:00:00,3,LAL,2,16,24,0,2,6,POR,0,L (-3)
25,-1,0,0,0,0,28-076,0,1,25/02/2005,4,0.444,9,1,0.5,2,25,0,2.7,abdursh01,21:00,1,ATL,3,9,25,0,1,2,POR,0,W (+1)
26,-5,0,0,0,1,28-078,1,2,27/02/2005,2,0.333,6,6,1,6,26,0,7.8,abdursh01,23:00,0,MIN,2,10,26,0,0,2,POR,0,L (-8)
27,6,0,0,0,2,28-080,0,2,01/03/2005,3,0.375,8,1,1,1,27,0,4.3,abdursh01,17:00,1,DET,0,7,27,0,1,3,POR,0,L (-10)
30,-15,0,0,1,5,28-086,0,4,07/03/2005,7,0.583,12,1,1,1,30,1,11,abdursh01,34:00:00,1,DEN,2,15,30,0,3,5,POR,@,L (-13)
31,-12,0,0,0,2,28-088,1,7,09/03/2005,8,0.571,14,6,0.857,7,31,1,17.1,abdursh01,35:00:00,3,CHI,3,22,31,0,3,10,POR,0,L (-13)
33,-17,0,0,1,4,28-093,0,6,14/03/2005,6,0.429,14,2,1,2,33,1,10.8,abdursh01,37:00:00,2,MEM,2,14,33,1,2,8,POR,@,L (-21)
34,-27,0,0,0,4,28-095,0,4,16/03/2005,5,0.417,12,10,1,10,34,1,14.2,abdursh01,32:00:00,0,HOU,6,20,34,1,2,4,POR,@,L (-31)
35,-3,0,0,1,4,28-096,1,3,17/03/2005,6,0.333,18,8,0.889,9,35,1,10,abdursh01,46:00:00,2,DAL,3,20,35,1,5,5,POR,@,L (-4)
36,-3,0,0,0,2,28-098,0,6,19/03/2005,4,0.333,12,5,0.625,8,36,1,4.7,abdursh01,41:00:00,1,ORL,3,13,36,0,3,7,POR,0,L (-5)
37,-9,0,0,0,2,28-100,0,9,21/03/2005,7,0.389,18,9,1,9,37,1,21.6,abdursh01,39:00:00,5,LAC,3,23,37,2,0,14,POR,@,L (-7)
38,-18,0,0,0,2,28-101,0,3,22/03/2005,9,0.643,14,9,0.9,10,38,1,19.9,abdursh01,39:00:00,2,SAC,3,27,38,0,3,5,POR,@,L (-19)
39,-16,0,0,0,2,28-103,3,2,24/03/2005,5,0.385,13,6,0.75,8,39,1,15.1,abdursh01,33:00:00,3,SEA,3,16,39,2,0,5,POR,0,L (-5)
40,7,0,0,0,3,28-105,0,1,26/03/2005,5,0.357,14,7,0.875,8,40,1,11.8,abdursh01,37:00:00,4,NYK,3,17,40,1,2,5,POR,0,W (+7)
42,-2,0,0,0,4,28-107,2,5,28/03/2005,6,0.462,13,7,1,7,41,1,17.5,abdursh01,38:00:00,3,WAS,4,19,41,1,2,8,POR,0,L (-8)
44,3,0,0,1,4,28-111,0,6,01/04/2005,7,0.5,14,7,0.875,8,43,1,17,abdursh01,41:00:00,0,SEA,3,21,43,1,1,6,POR,@,L (-2)
45,-6,0,0,0,7,28-112,0,7,02/04/2005,9,0.391,23,2,1,2,44,1,11.6,abdursh01,48:00:00,1,DEN,4,20,44,0,2,8,POR,0,L (-6)
46,-15,0,0,0,2,28-115,0,4,05/04/2005,2,0.286,7,2,0.667,3,45,1,-0.3,abdursh01,30:00:00,2,UTA,2,6,45,0,5,6,POR,@,L (-11)
47,-1,0,0,0,6,28-116,1,6,06/04/2005,9,0.643,14,3,1,3,46,1,18,abdursh01,43:00:00,1,GSW,3,21,46,1,4,7,POR,0,L (-2)
49,14,0,0,2,2,28-120,0,7,10/04/2005,10,0.588,17,5,0.833,6,48,1,19.5,abdursh01,41:00:00,3,NOH,2,25,48,0,2,10,POR,@,W (+9)
51,-10,0,0,0,3,28-124,0,8,14/04/2005,9,0.9,10,1,1,1,50,1,19.7,abdursh01,36:00:00,2,DAL,2,19,50,1,2,10,POR,0,L (-12)
54,6,0,0,1,1,28-129,0,0,19/04/2005,4,0.4,10,1,1,1,53,1,4.2,abdursh01,14:00,1,DEN,2,9,53,1,1,1,POR,@,L (-4)
55,-10,0,0,0,1,28-130,0,1,20/04/2005,5,0.556,9,1,1,1,54,1,6.2,abdursh01,27:00:00,1,LAL,3,11,54,0,1,2,POR,0,W (+3)
0,4,0,0,0,1,31-253,0,2,02/03/2005,0,0,0,0,0,0,1,0,2,alexaco01,3:00,1,NOH,0,0,1,1,1,3,CHA,@,L (-9)
3,-15,0,0,1,1,31-259,0,0,08/03/2005,1,0.2,5,0,0,0,4,0,-1.6,alexaco01,11:00,0,MIN,3,2,4,0,0,0,CHA,@,L (-5)
4,-15,0,0,0,7,31-262,0,3,11/03/2005,2,0.4,5,1,0.5,2,5,0,5.4,alexaco01,27:00:00,1,PHI,5,5,5,1,2,4,CHA,@,L (-32)
5,-5,0,0,1,0,31-267,1,1,16/03/2005,0,0,2,0,0,0,6,0,-2.7,alexaco01,12:00,1,DEN,0,0,6,0,3,2,CHA,@,L (-19)
6,3,0,0,0,1,31-269,0,2,18/03/2005,0,0,1,0,0,0,7,0,-0.4,alexaco01,8:00,0,SAS,0,0,7,0,1,2,CHA,@,L (-17)
7,0,0,0,1,2,31-274,0,0,23/03/2005,0,0,1,0,0,0,8,0,-0.7,alexaco01,4:00,0,PHO,1,0,8,0,1,0,CHA,0,L (-15)
8,-1,0,0,2,0,31-283,0,0,01/04/2005,0,0,2,0,0,0,9,0,-1.8,alexaco01,2:00,0,TOR,1,0,9,0,0,0,CHA,0,L (-12)
9,1,0,0,0,2,31-284,0,0,02/04/2005,0,0,0,0,0,0,10,0,1.4,alexaco01,3:00,0,CHI,0,0,10,0,0,0,CHA,@,L (-15)
12,-4,0,0,1,4,31-290,0,3,08/04/2005,1,0.167,6,0,0,0,13,1,3.7,alexaco01,20:00,0,MIL,3,2,13,3,0,3,CHA,@,L (-18)
14,6,0,0,0,2,31-299,0,1,17/04/2005,0,0,1,0,0,0,15,0,1.7,alexaco01,6:00,1,WAS,0,0,15,0,0,2,CHA,@,L (-2)
15,-8,0,0,2,3,31-301,0,2,19/04/2005,1,0.2,5,1,0.5,2,16,0,1.2,alexaco01,19:00,0,MIA,0,3,16,0,1,2,CHA,@,L (-19)
0,11,0,0,0,1,26-129,2,1,03/11/2004,2,0.5,4,2,1,2,1,0,6.6,allenma01,21:00,2,NJN,3,6,1,0,0,3,MIA,@,W (+23)
1,-1,0,0,0,0,26-130,1,3,04/11/2004,2,0.5,4,0,0,0,2,0,1.7,allenma01,16:00,1,CLE,4,4,2,0,1,4,MIA,0,W (+6)
2,3,0,0,0,0,26-132,1,3,06/11/2004,4,0.571,7,1,0.5,2,3,0,5.7,allenma01,18:00,2,WAS,4,9,3,0,1,5,MIA,@,W (+12)
3,-3,0,0,0,1,26-135,1,3,09/11/2004,2,0.333,6,0,0,0,4,0,2.5,allenma01,17:00,0,WAS,1,4,4,0,0,3,MIA,0,W (+10)
4,5,0,0,0,0,26-137,0,3,11/11/2004,2,0.5,4,0,0,0,5,0,3.2,allenma01,15:00,1,DAL,1,4,5,1,1,4,MIA,0,L (-20)
5,0,0,0,0,0,26-138,1,2,12/11/2004,5,0.455,11,0,0,0,6,0,3.2,allenma01,25:00:00,2,SAS,2,10,6,0,3,4,MIA,@,L (-9)
6,-2,0,0,0,2,26-140,1,0,14/11/2004,2,0.667,3,4,1,4,7,0,9.1,allenma01,19:00,3,MIL,2,8,7,0,1,3,MIA,0,W (+2)
7,-16,0,0,0,2,26-142,0,4,16/11/2004,4,0.5,8,2,1,2,8,0,9.5,allenma01,28:00:00,1,MIN,2,10,8,2,1,5,MIA,@,L (-11)
8,3,0,0,0,1,26-143,1,2,17/11/2004,3,0.75,4,0,0,0,9,0,5.7,allenma01,13:00,3,MIL,2,6,9,0,2,5,MIA,@,W (+7)
9,-5,0,0,0,1,26-145,1,2,19/11/2004,5,0.5,10,0,0,0,10,0,9.9,allenma01,30:00:00,5,UTA,4,10,10,1,0,7,MIA,0,W (+2)
10,-2,0,0,0,0,26-229,0,1,11/02/2005,1,1,1,0,0,0,11,0,2,allenma01,6:00,0,CHA,0,2,11,0,0,1,MIA,@,W (+10)
11,1,0,0,0,2,26-234,1,1,16/02/2005,1,0.25,4,0,0,0,12,0,1.6,allenma01,11:00,0,LAC,1,2,12,0,0,1,MIA,0,W (+18)
12,-7,0,0,0,1,26-240,1,3,22/02/2005,1,0.167,6,4,1,4,13,0,5.8,allenma01,20:00,3,CHI,2,6,13,0,0,6,MIA,@,L (-4)
13,-8,0,0,0,0,26-241,0,0,23/02/2005,1,0.25,4,0,0,0,14,0,-1.1,allenma01,9:00,1,IND,1,2,14,0,1,1,MIA,@,L (-2)
14,-10,0,0,0,0,26-244,2,3,26/02/2005,3,0.429,7,3,1,3,15,0,8.9,allenma01,18:00,3,CHI,2,9,15,0,0,6,CHA,0,L (-4)
15,-1,0,0,0,0,26-247,0,0,01/03/2005,1,0.5,2,0,0,0,16,0,0.2,allenma01,5:00,0,SAC,2,2,16,0,0,0,CHA,0,W (+7)
16,-3,0,0,0,0,26-248,0,0,02/03/2005,1,0.5,2,0,0,0,17,0,0.6,allenma01,4:00,0,NOH,1,2,17,0,0,0,CHA,@,L (-9)
17,-8,0,0,0,2,26-250,1,2,04/03/2005,2,0.222,9,1,0.5,2,18,0,2.5,allenma01,17:00,3,BOS,1,5,18,0,1,5,CHA,@,L (-20)
18,-11,0,0,0,0,26-254,0,1,08/03/2005,3,0.5,6,0,0,0,19,0,2.7,allenma01,14:00,0,MIN,4,6,19,1,0,1,CHA,@,L (-5)
19,-12,0,0,0,0,26-257,0,4,11/03/2005,6,0.6,10,0,0,0,20,0,9.3,allenma01,23:00,1,PHI,0,12,20,1,1,5,CHA,@,L (-32)
21,7,0,0,0,0,26-258,0,1,12/03/2005,0,0,1,0,0,0,21,0,-0.8,allenma01,15:00,0,LAL,1,0,21,0,0,1,CHA,0,L (-1)
22,3,0,0,0,1,26-260,1,1,14/03/2005,1,0.5,2,2,1,2,22,0,5.4,allenma01,15:00,1,BOS,0,4,22,0,0,2,CHA,0,L (-9)
23,-1,0,0,0,0,26-262,0,0,16/03/2005,1,1,1,0,0,0,23,0,1.7,allenma01,6:00,0,DEN,0,2,23,0,0,0,CHA,@,L (-19)
