,+/-,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,-1,0,0,0,1,28-131,0,1,14/03/2003,1,0.333,3,0,0,0,1,0,2.7,abdulta01,5:00,2,GSW,0,2,1,0,0,3,DAL,@,W (+2)
1,0,0,0,0,1,28-133,0,0,16/03/2003,1,0.5,2,0,0,0,2,0,3.3,abdulta01,4:00,2,SAC,2,2,2,1,0,2,DAL,@,W (+6)
2,-6,0,0,0,2,28-135,0,2,18/03/2003,1,0.25,4,0,0,0,3,0,-0.2,abdulta01,12:00,0,CLE,2,2,3,0,1,2,DAL,0,W (+21)
3,9,0,0,0,1,28-141,1,4,24/03/2003,2,0.667,3,0,0,0,4,0,3.9,abdulta01,17:00,0,DEN,1,4,4,0,1,4,DAL,@,W (+12)
4,-9,0,0,0,0,28-143,0,0,26/03/2003,0,0,1,0,0,0,5,0,-1.4,abdulta01,6:00,1,LAC,1,0,5,0,1,1,DAL,@,W (+7)
5,7,0,0,1,2,28-145,0,6,28/03/2003,6,0.462,13,0,0,0,6,0,9.7,abdulta01,30:00:00,2,POR,3,12,6,1,0,8,DAL,@,L (-17)
6,27,0,0,0,6,28-147,1,3,30/03/2003,5,0.625,8,0,0,2,7,0,11.5,abdulta01,25:00:00,1,MIN,4,10,7,1,0,4,DAL,@,W (+24)
7,3,0,0,0,0,28-149,1,2,01/04/2003,2,0.4,5,2,1,2,8,0,7.3,abdulta01,21:00,3,NOH,1,6,8,1,0,5,DAL,0,W (+9)
8,-5,0,0,0,1,28-151,0,2,03/04/2003,2,1,2,0,0,0,9,0,6.7,abdulta01,19:00,2,LAL,1,4,9,2,1,4,DAL,0,L (-11)
9,6,0,0,0,0,28-153,0,4,05/04/2003,4,0.444,9,0,0,0,10,0,4.5,abdulta01,18:00,0,ORL,0,8,10,0,0,4,DAL,0,W (+18)
10,3,0,0,0,4,28-156,0,0,08/04/2003,0,0,0,0,0,0,11,0,0.2,abdulta01,14:00,0,LAL,4,0,11,0,1,0,DAL,@,L (-9)
11,-8,0,0,0,1,28-157,0,1,09/04/2003,2,0.4,5,1,0.5,2,12,0,1.2,abdulta01,19:00,1,PHO,1,5,12,0,2,2,DAL,@,L (-23)
12,0,0,0,0,0,28-159,0,0,11/04/2003,1,1,1,0,0,0,13,0,0.1,abdulta01,9:00,0,UTA,4,2,13,0,0,0,DAL,@,L (-3)
13,-7,0,0,0,2,28-162,0,1,14/04/2003,0,0,2,0,0,0,14,0,-0.5,abdulta01,5:00,0,SEA,2,0,14,0,0,1,DAL,0,W (+3)
3,0,0,0,1,5,25-330,1,4,06/11/2002,9,0.529,17,1,0.5,2,4,1,15.6,abdursh01,39:00:00,3,PHO,3,19,4,0,1,7,ATL,@,L (-5)
4,-20,0,0,0,1,25-332,1,3,08/11/2002,6,0.5,12,5,0.714,7,5,1,10.7,abdursh01,36:00:00,2,UTA,3,17,5,1,3,5,ATL,@,L (-13)
6,20,0,0,1,1,25-336,0,8,12/11/2002,8,0.5,16,10,1,10,7,1,20.3,abdursh01,41:00:00,2,LAL,3,26,7,0,1,10,ATL,@,W (+12)
8,26,0,0,0,2,25-342,1,4,18/11/2002,12,0.8,15,3,1,3,9,1,26.1,abdursh01,31:00:00,1,TOR,3,27,9,2,0,5,ATL,0,W (+25)
10,-4,0,0,2,7,25-346,1,5,22/11/2002,7,0.35,20,8,0.889,9,11,1,17.1,abdursh01,47:00:00,2,BOS,2,22,11,4,5,7,ATL,@,L (-7)
11,-16,0,0,1,2,25-347,0,6,23/11/2002,2,0.286,7,11,0.846,13,12,1,8.1,abdursh01,34:00:00,2,BOS,4,15,12,0,5,8,ATL,0,L (-10)
