,+/-,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,-15,0,0,0,1,24-023,1,4,29/10/2014,3,0.5,6,0,0,0,1,0,3.4,acyqu01,21:28,2,CHI,4,6,1,0,2,6,NYK,0,L (-24)
9,-41,0,0,3,1,27-128,0,1,16/11/2014,3,0.273,11,0,0,0,10,1,1.7,johnswe01,31:41:00,2,GSW,3,6,10,1,0,3,LAL,0,L (-21)
22,-40,0,0,2,1,23-084,0,1,03/03/2015,2,0.25,8,2,1,2,22,1,2.7,gallola01,23:02,1,SAC,3,6,22,1,0,2,NYK,0,L (-38)
81,-40,1,0.25,4,2,21-311,0,1,10/04/2015,4,0.571,7,0,0,0,71,0,6.1,porteot01,27:49:00,1,BRK,0,9,79,0,2,2,WAS,@,L (-37)
7,-39,0,0,0,0,20-217,1,3,13/11/2014,2,0.286,7,1,0.167,6,6,0,0.5,noelne01,28:35:00,4,DAL,2,5,8,3,5,7,PHI,@,L (-53)
66,-38,1,0.5,2,2,25-174,0,3,11/03/2015,6,0.462,13,2,1,2,64,1,7.4,ibakase01,25:48:00,0,LAC,3,15,64,0,2,3,OKC,0,L (-12)
44,-38,1,0.5,2,3,31-086,0,1,22/01/2015,3,0.273,11,0,0,0,43,1,1.5,jackja01,27:12:00,0,LAC,1,7,43,3,4,1,BRK,@,L (-39)
76,-38,0,0,0,2,20-035,0,3,30/03/2015,5,0.333,15,7,0.778,9,74,1,8.6,wiggian01,37:34:00,2,UTA,2,17,74,1,3,5,MIN,0,L (-20)
7,-37,1,0.25,4,5,23-034,0,5,13/11/2014,6,0.316,19,6,0.6,10,1,0,6,cartemi01,30:23:00,3,DAL,4,19,8,0,6,8,PHI,@,L (-53)
9,-37,0,0,0,0,27-112,0,5,16/11/2014,4,0.444,9,7,0.778,9,10,1,13.4,hilljo01,25:37:00,6,GSW,2,15,10,0,1,11,LAL,0,L (-21)
9,-37,0,0,0,1,26-085,1,1,16/11/2014,0,0,2,0,0,0,10,1,-0.8,linje01,22:15,1,GSW,2,0,10,0,1,2,LAL,0,L (-21)
80,-36,0,0,0,0,21-261,2,2,07/04/2015,2,0.333,6,1,0.5,2,66,1,3.2,adamsst01,26:21:00,2,SAS,1,5,78,0,1,4,OKC,0,L (-25)
4,-36,1,0.333,3,0,23-150,1,4,27/02/2015,3,0.375,8,2,0.333,6,4,1,2.9,lauvejo01,25:59:00,2,UTA,1,9,5,0,3,6,DEN,0,L (-22)
85,-36,1,0.2,5,3,24-290,0,9,12/04/2015,6,0.4,15,2,0.5,4,60,1,3,shumpim01,37:33:00,1,BOS,4,15,82,0,7,10,CLE,@,L (-39)
17,-36,0,0,2,6,24-205,1,2,29/11/2014,2,0.222,9,0,0,0,18,1,4.6,walkeke02,24:51:00,0,ATL,1,4,18,1,0,2,CHO,@,L (-30)
6,-35,0,0,1,2,32-096,0,0,10/04/2015,0,0,3,1,0.5,2,5,0,-5.3,bynumwi01,18:03,0,BRK,3,1,7,0,4,0,WAS,@,L (-37)
44,-35,0,0,0,1,24-323,0,2,22/01/2015,6,0.667,9,4,0.364,11,43,1,10.5,plumlma01,25:22:00,1,LAC,2,16,43,2,2,3,BRK,@,L (-39)
7,-35,0,0,2,0,23-224,0,1,13/11/2014,0,0,4,0,0,0,8,1,-4.3,thompho01,23:39,0,DAL,2,0,8,0,1,1,PHI,@,L (-53)
44,-34,2,0.333,6,0,29-205,0,1,21/01/2015,2,0.222,9,0,0,0,43,1,2.4,arizatr01,27:17:00,2,GSW,2,6,43,2,1,3,HOU,@,L (-13)
68,-34,2,0.5,4,1,25-334,0,2,18/03/2015,5,0.556,9,0,0,0,62,0,8.6,bogdabo02,35:49:00,0,CLE,1,12,66,0,0,2,BRK,@,L (-25)
9,-34,3,0.25,12,3,36-085,0,4,16/11/2014,15,0.441,34,11,0.688,16,10,1,25,bryanko01,31:22:00,1,GSW,3,44,10,0,2,5,LAL,0,L (-21)
36,-34,0,0,3,7,36-137,0,8,07/01/2015,2,0.167,12,0,0,0,32,1,-1.7,bryanko01,27:47:00,0,LAC,1,4,36,1,6,8,LAL,@,L (-25)
30,-34,0,0,0,5,38-244,1,4,25/12/2014,6,0.462,13,3,0.6,5,25,1,10.7,duncati01,28:45:00,2,OKC,4,15,30,0,2,6,SAS,0,L (-8)
36,-34,2,0.333,6,3,27-070,0,3,07/01/2015,4,0.4,10,3,0.75,4,29,1,9,ellinwa01,39:46:00,0,LAC,3,13,36,0,0,3,LAL,@,L (-25)
60,-34,2,0.4,5,2,22-352,0,1,03/03/2015,2,0.286,7,1,0.5,2,58,1,1,hardati02,15:40,0,SAC,3,7,59,0,2,1,NYK,0,L (-38)
44,-34,1,0.25,4,3,33-207,0,5,22/01/2015,4,0.333,12,0,0,0,41,1,5.1,johnsjo02,25:44:00,1,LAC,1,9,43,1,2,6,BRK,@,L (-39)
78,-34,1,0.5,2,3,33-279,0,2,04/04/2015,1,0.2,5,1,0.5,2,74,1,1.4,johnsjo02,20:20,0,ATL,2,4,76,0,1,2,BRK,@,L (-32)
32,-34,0,0,2,1,21-328,0,4,03/01/2015,2,0.2,10,0,0,2,31,1,-0.5,mcdankj01,25:53:00,2,LAC,2,4,32,1,1,6,PHI,@,L (-36)
8,-34,0,0,3,0,26-122,0,0,15/11/2014,2,0.25,8,1,1,1,8,0,-1.6,scottmi01,13:14,0,CLE,2,5,9,0,1,0,ATL,@,L (-33)
15,-34,0,0,1,0,26-163,1,2,01/12/2014,4,0.444,9,0,0,2,11,1,3.2,youngth01,21:10,0,LAC,4,8,16,1,0,2,MIN,@,L (-26)
12,-33,1,0.333,3,0,22-106,0,3,03/04/2015,2,0.222,9,6,0.667,9,12,0,3.4,brownja01,29:51:00,0,POR,2,11,13,0,1,3,LAL,0,L (-30)
36,-33,0,0,0,0,25-216,1,1,07/01/2015,2,0.333,6,0,0,2,36,1,1.8,davised01,23:24,2,LAC,1,4,36,0,0,3,LAL,@,L (-25)
55,-33,2,0.5,4,2,28-188,1,4,21/02/2015,4,0.308,13,5,0.714,7,50,1,9.6,gayru01,31:47:00,2,LAC,2,15,54,0,1,6,SAC,@,L (-27)
44,-33,0,0,0,0,26-296,1,1,22/01/2015,1,0.333,3,2,1,2,33,1,1.1,lopezbr01,24:23:00,0,LAC,3,4,43,0,1,1,BRK,@,L (-39)
9,-33,1,0.2,5,0,23-228,0,1,17/11/2014,1,0.125,8,1,0.5,2,10,1,0.7,thompho01,26:18:00,2,SAS,1,4,10,2,1,3,PHI,@,L (-25)
17,-33,0,0,0,0,22-055,0,3,29/11/2014,0,0,6,4,1,4,18,1,0.3,zelleco01,24:29:00,0,ATL,1,4,18,1,1,3,CHO,@,L (-30)
60,-32,0,0,1,0,32-139,0,0,04/03/2015,1,0.2,5,0,0,0,59,1,-2.3,anderal01,21:46,0,CHO,3,2,59,1,1,0,BRK,0,L (-24)
61,-32,0,0,2,0,25-081,0,5,28/02/2015,3,0.333,9,6,0.857,7,59,1,6.3,bledser01,31:55:00,1,SAS,1,12,60,0,2,6,PHO,0,L (-27)
30,-32,0,0,1,6,23-081,0,0,30/12/2014,1,0.143,7,2,0.5,4,23,1,3.2,cartemi01,38:06:00,1,GSW,1,4,30,3,3,1,PHI,@,L (-40)
28,-32,2,0.5,4,2,23-095,0,3,14/03/2015,4,0.571,7,0,0,0,28,1,10.6,gallola01,28:34:00,0,GSW,1,10,28,2,0,3,NYK,@,L (-31)
6,-32,0,0,2,0,28-061,0,2,09/11/2014,4,0.5,8,0,0,0,6,1,4.6,mbahalu01,28:47:00,2,TOR,1,8,7,0,1,4,PHI,@,L (-32)
28,-32,0,0,0,0,28-154,2,3,22/12/2014,3,1,3,0,0,0,28,1,6.3,thompja02,20:09,1,GSW,2,6,28,0,1,4,SAC,@,L (-20)
56,-32,0,0,1,1,28-078,0,2,20/02/2015,1,0.2,5,2,0.5,4,16,0,0.7,webstma02,20:03,1,CLE,1,4,55,0,1,3,WAS,0,L (-38)
67,-32,0,0,0,1,20-020,1,2,15/03/2015,4,0.4,10,5,0.833,6,65,1,8.5,wiggian01,36:59:00,3,SAS,2,13,65,0,2,5,MIN,@,L (-26)
85,-32,0,0,2,3,20-051,2,4,15/04/2015,6,0.5,12,11,0.846,13,82,1,19.5,wiggian01,37:41:00,2,OKC,2,23,82,1,3,6,MIN,0,L (-25)
14,-32,3,0.6,5,0,28-282,0,1,25/11/2014,4,0.5,8,0,0,0,15,1,6.5,willish03,27:13:00,2,GSW,3,11,15,0,1,3,MIA,0,L (-17)
30,-32,1,0.2,5,3,21-261,1,1,30/12/2014,4,0.308,13,1,1,1,23,0,2.6,wroteto01,19:40,0,GSW,0,10,30,2,5,1,PHI,@,L (-40)
17,-31,0,0,0,0,23-163,0,2,19/01/2015,1,1,1,0,0,0,15,0,3.9,aldemfu01,18:53,2,WAS,2,2,18,1,0,4,PHI,@,L (-35)
67,-31,1,1,1,2,29-139,2,2,14/03/2015,8,0.571,14,1,0.5,2,16,1,11.7,bargnan01,28:12:00,1,GSW,1,18,65,0,3,3,NYK,@,L (-31)
72,-31,0,0,2,2,26-214,0,3,22/03/2015,2,0.333,6,0,0,0,66,0,0.5,bayleje01,23:10,0,CLE,1,4,70,0,2,3,MIL,0,L (-18)
67,-31,0,0,0,0,25-056,1,4,15/03/2015,5,0.385,13,0,0,2,65,1,3.2,dienggo01,31:32:00,2,SAS,3,10,65,1,2,6,MIN,@,L (-26)
60,-31,0,0,2,0,23-320,0,1,03/03/2015,1,0.167,6,2,1,2,24,1,-0.6,earlycl01,18:51,1,SAC,2,4,59,1,2,2,NYK,0,L (-38)
75,-31,0,0,3,0,32-028,0,2,27/03/2015,3,0.375,8,2,1,2,69,0,0.8,harride01,25:57:00,0,SAS,1,8,73,1,4,2,DAL,@,L (-18)
59,-31,0,0,4,0,28-339,0,2,27/02/2015,1,0.143,7,2,1,2,58,1,-2.3,lowryky01,18:45,0,GSW,1,4,58,0,2,2,TOR,0,L (-24)
7,-31,0,0,2,1,31-286,0,2,14/11/2014,0,0,6,3,1,3,7,1,-5.5,martike02,18:19,0,NOP,4,3,8,0,4,2,MIN,@,L (-48)
12,-31,1,1,1,3,19-251,1,4,21/11/2014,5,0.417,12,4,0.667,6,13,1,13.8,parkeja01,27:08:00,2,TOR,1,15,13,2,1,6,MIL,@,L (-42)
84,-31,0,0,0,4,33-271,0,1,13/04/2015,3,0.429,7,4,1,4,70,1,10.8,randoza01,21:01,4,GSW,1,10,81,1,2,5,MEM,@,L (-4)
50,-31,0,0,0,0,28-201,1,2,07/02/2015,3,0.6,5,1,0.5,2,48,1,6.5,thompja02,28:03:00,3,UTA,3,7,49,0,0,5,SAC,@,L (-12)
70,-30,0,0,0,0,32-108,0,1,25/03/2015,0,0,3,0,0,0,43,1,-2.2,amundlo01,14:39,0,LAC,1,0,68,0,0,1,NYK,0,L (-31)
67,-30,2,0.667,3,3,25-090,0,2,09/03/2015,6,0.545,11,5,0.833,6,64,1,10.8,bledser01,35:37:00,0,GSW,3,19,65,2,6,2,PHO,0,L (-18)
3,-30,1,0.167,6,1,36-070,0,5,01/11/2014,12,0.429,28,3,0.5,6,4,1,8.7,bryanko01,35:53:00,1,GSW,3,28,4,2,7,6,LAL,@,L (-23)
18,-30,2,0.333,6,3,36-102,0,4,03/12/2014,8,0.364,22,11,0.786,14,19,1,14.3,bryanko01,34:11:00,0,WAS,4,29,19,1,4,4,LAL,@,L (-16)
56,-30,0,0,4,2,35-273,0,2,20/02/2015,1,0.167,6,0,0,0,51,0,-0.6,butlera01,18:18,0,CLE,2,2,55,0,0,2,WAS,0,L (-38)
48,-30,0,0,2,1,21-344,0,2,28/01/2015,2,0.222,9,0,0,0,47,1,-4,caldwke01,22:39,0,PHI,2,4,47,0,3,2,DET,@,L (-20)
22,-30,2,0.333,6,0,30-268,1,1,10/12/2014,3,0.333,9,2,1,2,22,1,5.1,copelch01,18:04,0,LAC,2,10,22,0,0,1,IND,0,L (-7)
42,-30,0,0,0,1,25-061,1,7,19/01/2015,2,0.333,6,3,0.6,5,38,1,4.7,farieke01,20:08,2,GSW,0,7,41,0,3,9,DEN,@,L (-43)
58,-30,0,0,0,0,26-174,1,2,25/02/2015,2,0.4,5,4,0.667,6,49,0,7.5,hicksjj01,22:20,1,PHO,0,8,57,1,0,3,DEN,0,L (-14)
