3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,0,0,24-364,0,2,02/11/1999,2,0.286,7,0,0,0,1,1,-0.5,abdulta01,20:00,2,CHH,1,4,1,0,2,4,ORL,@,L (-14)
1,0.5,2,0,18-314,2,0,10/12/1999,4,0.571,7,1,1,1,1,0,6.7,bendejo01,13:00,0,CLE,1,10,1,0,1,0,IND,0,W (+48)
0,0,0,0,18-315,1,2,11/12/1999,0,0,3,1,0.5,2,2,0,-1.6,bendejo01,4:00,0,LAC,1,1,2,0,1,2,IND,0,W (+18)
1,1,1,0,18-319,0,0,15/12/1999,1,0.5,2,0,0,0,3,0,1.6,bendejo01,3:00,0,CHI,1,3,3,0,0,0,IND,0,W (+11)
0,0,0,0,18-321,0,1,17/12/1999,0,0,0,0,0,0,4,0,-0.7,bendejo01,1:00,0,UTA,0,0,4,0,1,1,IND,0,W (+15)
0,0,0,0,18-331,0,1,27/12/1999,0,0,0,0,0,0,5,0,-0.5,bendejo01,5:00,0,CHI,2,0,5,0,0,1,IND,@,W (+12)
0,0,0,0,18-333,0,1,29/12/1999,2,0.667,3,0,0,1,6,0,2.6,bendejo01,5:00,0,ATL,0,4,6,0,0,1,IND,@,W (+27)
0,0,1,0,18-334,0,0,30/12/1999,0,0,4,0,0,0,7,0,-2.8,bendejo01,4:00,0,CHH,0,0,7,0,0,0,IND,0,W (+10)
0,0,0,0,18-347,0,1,12/01/2000,1,1,1,0,0,0,8,0,1,bendejo01,3:00,0,WAS,0,2,8,0,1,1,IND,0,W (+15)
0,0,1,0,18-354,0,1,19/01/2000,0,0,1,0,0,0,9,0,-0.4,bendejo01,2:00,0,MIL,0,0,9,0,0,1,IND,0,W (+22)
0,0,0,1,19-008,0,0,07/02/2000,0,0,3,0,0,0,10,0,-0.7,bendejo01,3:00,1,PHI,0,0,10,0,0,1,IND,0,W (+25)
0,0,0,0,19-020,0,1,19/02/2000,1,0.333,3,0,0,0,11,0,0.2,bendejo01,4:00,0,NYK,1,2,11,0,0,1,IND,@,L (-14)
0,0,0,0,19-027,0,1,26/02/2000,0,0,2,2,0.5,4,12,0,-0.7,bendejo01,5:00,0,GSW,2,2,12,0,0,1,IND,0,W (+16)
0,0,0,0,19-030,0,1,29/02/2000,1,0.25,4,0,0,0,13,0,1.3,bendejo01,6:00,2,DET,0,2,13,0,0,3,IND,0,W (+10)
0,0,1,0,19-032,0,2,02/03/2000,1,0.2,5,0,0,0,14,0,-1.9,bendejo01,18:00,0,PHO,1,2,14,0,1,2,IND,@,L (-31)
0,0,0,0,19-033,0,0,03/03/2000,1,1,1,2,1,2,15,0,1.9,bendejo01,4:00,0,LAL,2,4,15,0,1,0,IND,@,L (-15)
0,0,0,0,19-035,0,0,05/03/2000,1,0.5,2,0,0,0,16,0,-0.8,bendejo01,3:00,0,GSW,2,2,16,0,1,0,IND,@,W (+19)
0,0,1,1,19-040,0,0,10/03/2000,1,0.333,3,0,0,0,17,1,1,bendejo01,8:00,0,CLE,0,2,17,0,0,0,IND,@,W (+3)
0,0,2,0,19-044,0,2,14/03/2000,1,0.167,6,3,1,3,18,0,3.1,bendejo01,12:00,1,DAL,1,5,18,1,0,3,IND,@,L (-21)
0,0,0,0,19-048,0,1,18/03/2000,0,0,1,1,0.5,2,19,0,0.2,bendejo01,3:00,0,CHH,0,1,19,0,0,1,IND,0,W (+14)
0,0,0,0,19-056,1,1,26/03/2000,2,1,2,2,1,2,20,0,6.4,bendejo01,4:00,0,PHI,0,6,20,0,0,1,IND,0,L (-10)
0,0,1,0,19-061,0,0,31/03/2000,1,0.333,3,0,0,0,21,0,-0.1,bendejo01,2:00,0,MIN,1,2,21,0,0,0,IND,0,W (+24)
0,0,0,0,19-063,0,0,02/04/2000,1,0.5,2,0,0,0,22,0,0.6,bendejo01,2:00,0,TOR,1,2,22,0,0,0,IND,@,W (+21)
0,0,0,0,19-077,0,0,16/04/2000,0,0,1,1,1,1,23,0,-0.1,bendejo01,1:00,0,DET,1,1,23,0,0,0,IND,@,W (+11)
0,0,2,1,19-080,1,1,19/04/2000,4,0.364,11,3,0.5,6,24,0,5,bendejo01,15:00,0,ATL,1,11,24,0,0,1,IND,0,W (+19)
1,0.5,2,0,19-258,0,3,02/11/1999,4,0.5,8,5,0.833,6,1,0,8,harrial01,21:00,1,NJN,3,14,1,1,3,4,IND,@,W (+7)
0,0,1,2,19-260,0,3,04/11/1999,6,0.667,9,3,0.75,4,2,0,11.4,harrial01,18:00,2,CHH,5,15,2,0,1,5,IND,@,L (-9)
0,0,0,2,19-262,0,2,06/11/1999,4,0.667,6,4,1,4,3,0,9.1,harrial01,20:00,1,BOS,5,12,3,1,2,3,IND,0,W (+7)
0,0,1,2,19-265,1,3,09/11/1999,7,0.538,13,1,0.333,3,4,0,12,harrial01,29:00:00,1,MIA,4,15,4,2,0,4,IND,@,L (-12)
1,1,1,1,19-267,0,2,11/11/1999,6,0.75,8,6,0.857,7,5,0,15.2,harrial01,22:00,1,ORL,3,19,5,1,2,3,IND,0,W (+15)
