3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,0,3,24-094,0,2,05/02/1999,1,0.25,4,1,0.5,2,1,1,1.5,abdulta01,27:00:00,2,SAS,2,3,1,1,3,4,SAC,@,L (-18)
0,0,0,0,18-353,0,2,05/02/1999,0,0,0,0,0,2,1,0,-1.2,harrial01,3:00,0,WAS,0,0,1,0,1,2,IND,0,W (+15)
0,0,0,0,18-355,0,1,07/02/1999,0,0,1,0,0,0,2,0,-0.4,harrial01,1:00,0,DET,0,0,2,0,0,1,IND,@,L (-9)
0,0,1,0,19-007,0,0,24/02/1999,1,0.333,3,0,0,0,3,0,0.9,harrial01,4:00,0,TOR,1,2,3,1,0,0,IND,0,W (+20)
0,0,0,0,19-009,0,0,26/02/1999,0,0,0,0,0,0,4,0,0,harrial01,1:00,0,ORL,0,0,4,0,0,0,IND,@,L (-3)
0,0,0,0,19-016,0,1,05/03/1999,2,0.5,4,0,0,0,5,0,2.4,harrial01,13:00,3,GSW,0,4,5,0,2,4,IND,0,L (-19)
0,0,0,1,19-021,0,0,10/03/1999,0,0,1,0,0,0,6,0,-1,harrial01,2:00,0,NJN,0,0,6,0,1,0,IND,0,W (+11)
0,0,0,0,19-035,0,0,24/03/1999,0,0,3,2,1,2,7,0,0.5,harrial01,11:00,2,ATL,2,2,7,0,0,2,IND,@,L (-1)
0,0,1,1,19-037,1,2,26/03/1999,3,0.375,8,2,1,2,8,0,5.1,harrial01,17:00,3,NJN,4,8,8,0,1,5,IND,@,W (+9)
0,0,0,0,19-039,0,2,28/03/1999,0,0,1,3,0.75,4,9,0,2.8,harrial01,6:00,1,BOS,1,3,9,0,0,3,IND,@,W (+8)
0,0,1,1,19-040,0,0,29/03/1999,1,0.333,3,0,0,0,10,0,1.1,harrial01,15:00,1,ATL,4,2,10,1,0,1,IND,0,L (-1)
0,0,0,0,19-041,0,4,30/03/1999,1,0.333,3,0,0,0,11,0,-0.1,harrial01,23:00,2,NYK,5,2,11,0,1,6,IND,@,L (-1)
0,0,1,0,19-043,0,1,01/04/1999,2,0.286,7,0,0,0,12,0,-0.5,harrial01,17:00,3,TOR,2,4,12,0,2,4,IND,@,L (-1)
0,0,1,1,19-047,1,2,05/04/1999,1,0.2,5,0,0,0,13,0,1.8,harrial01,13:00,1,DET,2,2,13,1,0,3,IND,@,W (+2)
