,G,Opponent,Home_away,Tm,Opp
0,1,New Orleans Hornets,0,113,84
1,2,New Orleans Hornets,0,108,93
2,3,New Orleans Hornets,1,93,95
3,4,New Orleans Hornets,1,121,63
4,5,New Orleans Hornets,0,107,86
6,6,Dallas Mavericks,0,109,95
7,7,Dallas Mavericks,0,117,105
8,8,Dallas Mavericks,1,106,105
9,9,Dallas Mavericks,1,117,119
10,10,Dallas Mavericks,0,124,110
12,11,Los Angeles Lakers,1,103,105
13,12,Los Angeles Lakers,1,106,103
14,13,Los Angeles Lakers,0,97,103
15,14,Los Angeles Lakers,0,120,101
16,15,Los Angeles Lakers,1,94,103
17,16,Los Angeles Lakers,0,92,119
