,G,Opponent,Home_away,Tm,Opp
0,1,New York Nets,1,89,108
1,2,Kentucky Colonels,1,100,123
2,3,Indiana Pacers,1,100,122
3,4,Oakland Oaks,1,106,120
4,5,Indiana Pacers,0,109,107
5,6,Dallas Chaparrals,0,98,95
6,7,Oakland Oaks,0,134,127
7,8,Houston Mavericks,0,105,89
8,9,Dallas Chaparrals,1,95,110
9,10,Minnesota Pipers,1,126,121
10,11,Kentucky Colonels,1,101,109
11,12,Oakland Oaks,0,114,125
12,13,Dallas Chaparrals,1,115,109
13,14,Houston Mavericks,1,126,107
14,15,New Orleans Buccaneers,1,128,131
15,16,Miami Floridians,1,129,122
16,17,Houston Mavericks,1,106,108
17,18,New York Nets,0,127,108
18,19,Minnesota Pipers,0,119,118
19,20,Miami Floridians,0,121,113
21,21,Dallas Chaparrals,0,101,107
22,22,New Orleans Buccaneers,0,127,108
23,23,Los Angeles Stars,0,113,110
24,24,Houston Mavericks,1,111,102
25,25,Kentucky Colonels,0,116,95
26,26,Los Angeles Stars,1,119,124
27,27,New Orleans Buccaneers,0,122,96
28,28,New York Nets,1,129,110
29,29,Los Angeles Stars,0,127,112
30,30,Dallas Chaparrals,0,102,92
31,31,Houston Mavericks,0,120,102
32,32,Dallas Chaparrals,0,115,90
33,33,Minnesota Pipers,1,111,120
34,34,Los Angeles Stars,1,112,117
35,35,Oakland Oaks,1,115,136
36,36,Oakland Oaks,1,105,108
37,37,Houston Mavericks,0,124,117
38,38,New Orleans Buccaneers,0,112,107
39,39,New Orleans Buccaneers,1,106,136
40,40,Los Angeles Stars,0,120,102
42,41,Dallas Chaparrals,0,111,88
43,42,New York Nets,0,124,103
44,43,Los Angeles Stars,0,120,128
45,44,Indiana Pacers,1,122,131
46,45,Miami Floridians,1,97,108
47,46,Indiana Pacers,0,131,128
48,47,New York Nets,0,128,103
49,48,Oakland Oaks,1,114,124
50,49,Oakland Oaks,1,119,105
51,50,Minnesota Pipers,0,99,112
52,51,Indiana Pacers,1,109,125
53,52,Minnesota Pipers,1,110,106
54,53,New York Nets,1,119,115
55,54,Miami Floridians,0,108,99
56,55,Indiana Pacers,0,112,103
57,56,New Orleans Buccaneers,0,105,94
58,57,Oakland Oaks,0,116,118
59,58,Miami Floridians,0,106,109
60,59,New Orleans Buccaneers,0,106,121
61,60,Houston Mavericks,1,122,136
63,61,Los Angeles Stars,1,115,101
64,62,New Orleans Buccaneers,0,147,120
65,63,Minnesota Pipers,0,126,120
66,64,Kentucky Colonels,0,123,114
67,65,Dallas Chaparrals,1,111,121
68,66,Los Angeles Stars,0,118,103
69,67,Los Angeles Stars,1,122,125
70,68,Los Angeles Stars,1,119,142
71,69,Oakland Oaks,0,131,119
72,70,Miami Floridians,1,123,119
73,71,Kentucky Colonels,1,106,131
74,72,Houston Mavericks,0,133,123
75,73,Dallas Chaparrals,1,99,127
76,74,Houston Mavericks,1,115,124
77,75,New Orleans Buccaneers,1,100,112
78,76,Dallas Chaparrals,1,123,134
79,77,Houston Mavericks,0,121,99
80,78,Kentucky Colonels,0,94,90
