,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2016-01-18,33-162,DET,,CHI,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
43,42,,2016-01-20,33-164,DET,@,HOU,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
44,43,,2016-01-21,33-165,DET,@,NOP,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,44,,2016-01-23,33-167,DET,@,DEN,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
46,45,,2016-01-25,33-169,DET,@,UTA,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,46,,2016-01-27,33-171,DET,,PHI,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,47,13,2016-01-29,33-173,DET,,CLE,L (-8),0,2:16,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+4
49,48,,2016-01-30,33-174,DET,@,TOR,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,49,,2016-02-01,33-176,DET,@,BRK,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,50,,2016-02-03,33-178,DET,@,BOS,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
52,51,,2016-02-04,33-179,DET,,NYK,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,52,,2016-02-06,33-181,DET,@,IND,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
54,53,,2016-02-08,33-183,DET,,TOR,L (-14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,54,,2016-02-10,33-185,DET,,DEN,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
56,55,,2016-02-19,33-194,PHI,@,NOP,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,56,,2016-02-21,33-196,PHI,@,DAL,L (-26),Did Not Play,,,,,,,,,,,,,,,,,,,,,
58,57,14,2016-02-24,33-199,DET,,PHI,W (+20),0,4:25,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-5
59,58,,2016-02-27,33-202,DET,@,MIL,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
60,59,15,2016-02-28,33-203,DET,,TOR,W (+13),0,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-13
61,60,,2016-03-02,33-206,DET,@,SAS,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2016-03-05,33-209,DET,@,NYK,L (-13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
64,62,16,2016-03-06,33-210,DET,,POR,W (+20),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
65,63,,2016-03-09,33-213,DET,@,DAL,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
66,64,,2016-03-11,33-215,DET,@,CHO,L (-15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
67,65,,2016-03-12,33-216,DET,@,PHI,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
68,66,17,2016-03-14,33-218,DET,@,WAS,L (-43),0,4:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.1,-4
69,67,,2016-03-16,33-220,DET,,ATL,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
70,68,,2016-03-18,33-222,DET,,SAC,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
71,69,,2016-03-19,33-223,DET,,BRK,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
72,70,,2016-03-21,33-225,DET,,MIL,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
73,71,,2016-03-23,33-227,DET,,ORL,W (+16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
74,72,,2016-03-25,33-229,DET,,CHO,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
75,73,,2016-03-26,33-230,DET,,ATL,L (-17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
76,74,,2016-03-29,33-233,DET,,OKC,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
77,75,,2016-04-01,33-236,DET,,DAL,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
78,76,,2016-04-02,33-237,DET,@,CHI,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
79,77,18,2016-04-05,33-240,DET,@,MIA,L (-18),0,3:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
80,78,,2016-04-06,33-241,DET,@,ORL,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
81,79,,2016-04-08,33-243,DET,,WAS,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
82,80,,2016-04-12,33-247,DET,,MIA,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,19,2016-04-13,33-248,DET,@,CLE,W (+2),0,25:13,3,3,1.000,0,0,,1,2,.500,1,3,4,0,0,8,0,2,7,12.1,+3
