,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
38,38,38,2000-02-08,30-198,SAC,,CHI,W (+39),0,15:00,2,3,.667,2,3,.667,1,1,1.000,0,2,2,3,1,0,0,0,7,9.4
39,39,39,2000-02-10,30-200,SAC,,DEN,W (+12),0,21:00,2,5,.400,1,4,.250,1,1,1.000,2,5,7,2,3,1,2,0,6,9.3
40,40,40,2000-02-15,30-205,SAC,,PHO,L (-9),0,16:00,3,6,.500,1,3,.333,0,0,,1,0,1,1,0,1,0,3,7,4.9
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-02-17,30-207,SAC,@,UTA,L (-11),0,19:00,4,5,.800,1,1,1.000,1,2,.500,0,0,0,0,2,0,2,2,10,6.9
43,42,42,2000-02-18,30-208,SAC,,SEA,W (+33),0,30:00,4,6,.667,2,3,.667,2,2,1.000,2,3,5,5,3,0,1,3,12,16.0
44,43,43,2000-02-20,30-210,SAC,,POR,L (-5),0,28:00,1,4,.250,1,2,.500,2,2,1.000,1,0,1,4,0,1,2,1,5,4.4
45,44,44,2000-02-21,30-211,SAC,@,DEN,L (-6),0,35:00,5,8,.625,4,5,.800,3,3,1.000,1,3,4,3,2,0,2,3,17,15.9
46,45,45,2000-02-23,30-213,SAC,,ATL,L (-6),0,30:00,1,7,.143,1,5,.200,4,4,1.000,1,2,3,5,1,0,0,4,7,6.7
47,46,46,2000-02-26,30-216,SAC,@,VAN,L (-12),0,21:00,1,5,.200,0,3,.000,0,0,,1,2,3,4,1,0,1,2,2,2.2
48,47,47,2000-02-29,30-219,SAC,,VAN,W (+25),0,21:00,4,8,.500,2,4,.500,3,3,1.000,1,4,5,4,0,0,1,1,13,12.3
49,48,48,2000-03-02,30-221,SAC,@,HOU,L (-3),0,34:00,6,9,.667,2,3,.667,5,5,1.000,1,5,6,8,0,0,0,3,19,21.7
50,49,49,2000-03-04,30-223,SAC,@,SAS,W (+5),0,27:00,6,8,.750,2,3,.667,0,0,,1,2,3,3,1,0,3,1,14,11.8
51,50,50,2000-03-06,30-225,SAC,,DAL,W (+21),0,23:00,3,6,.500,2,4,.500,5,6,.833,0,2,2,5,2,0,0,3,13,14.5
52,51,51,2000-03-08,30-227,SAC,,CHH,W (+13),0,25:00,5,10,.500,1,1,1.000,0,0,,1,2,3,1,1,0,1,1,11,7.6
53,52,52,2000-03-10,30-229,SAC,,TOR,W (+15),0,21:00,2,6,.333,1,3,.333,0,0,,1,3,4,3,0,0,0,3,5,4.1
