,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
40,40,40,2000-01-22,23-345,BOS,@,CHH,L (-14),0,21:00,4,7,.571,0,0,,0,0,,1,1,2,1,2,0,1,4,8,5.8
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-01-25,23-348,BOS,@,MIA,L (-26),0,17:00,1,5,.200,0,0,,3,4,.750,0,3,3,0,0,2,0,4,5,2.2
43,42,42,2000-01-26,23-349,BOS,@,ORL,L (-22),0,13:00,0,2,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,4,1,-1.7
44,43,43,2000-01-28,23-351,BOS,,PHO,W (+3),0,29:00,3,6,.500,0,0,,1,2,.500,1,8,9,0,1,0,1,3,7,5.5
45,44,44,2000-02-01,23-355,BOS,@,IND,L (-3),0,27:00,3,6,.500,0,0,,2,2,1.000,3,6,9,1,2,1,1,2,8,10.5
46,45,45,2000-02-02,23-356,BOS,,MIA,L (-2),0,12:00,0,2,.000,0,0,,0,0,,3,2,5,0,0,1,0,5,0,0.0
47,46,46,2000-02-04,23-358,BOS,,NJN,W (+5),0,19:00,5,8,.625,0,0,,4,5,.800,4,1,5,0,1,1,0,4,14,13.2
48,47,47,2000-02-06,23-360,BOS,,POR,L (-6),0,17:00,4,7,.571,0,0,,0,0,,3,1,4,0,0,2,1,2,8,6.7
49,48,48,2000-02-08,23-362,BOS,@,NJN,L (-18),0,15:00,3,6,.500,0,0,,4,4,1.000,2,2,4,0,0,0,1,4,10,6.4
50,49,49,2000-02-09,23-363,BOS,,IND,L (-9),0,14:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,0,3,2,1.1
51,50,50,2000-02-15,24-004,BOS,@,UTA,W (+2),0,18:00,1,4,.250,0,0,,0,0,,1,0,1,1,0,0,2,5,2,-3.0
52,51,51,2000-02-18,24-007,BOS,@,GSW,L (-22),0,17:00,1,2,.500,0,0,,0,0,,0,5,5,0,0,0,1,5,2,-0.5
53,52,52,2000-02-19,24-008,BOS,@,SEA,L (-3),0,7:00,1,5,.200,0,0,,0,0,,2,1,3,0,0,0,0,2,2,-0.2
54,53,53,2000-02-21,24-010,BOS,@,POR,L (-13),0,17:00,1,5,.200,0,0,,0,0,,0,2,2,0,2,0,1,2,2,-0.3
55,54,54,2000-02-24,24-013,BOS,@,VAN,W (+24),0,22:00,1,1,1.000,0,0,,1,2,.500,1,3,4,0,1,3,4,1,3,2.6
56,55,55,2000-02-25,24-014,BOS,@,LAL,L (-13),0,25:00,5,11,.455,0,0,,2,2,1.000,1,7,8,2,2,0,0,3,12,11.3
57,56,56,2000-02-28,24-017,BOS,,DAL,L (-8),0,21:00,1,2,.500,0,0,,2,2,1.000,6,5,11,2,0,0,1,3,4,7.9
58,57,57,2000-03-01,24-019,BOS,,TOR,L (-2),0,10:00,0,2,.000,0,0,,0,0,,3,2,5,0,0,0,1,2,0,-0.5
59,58,58,2000-03-03,24-021,BOS,@,TOR,L (-10),0,28:00,5,7,.714,0,1,.000,1,2,.500,3,2,5,2,1,2,1,2,11,12.4
60,59,59,2000-03-05,24-023,BOS,,ORL,W (+6),0,20:00,4,6,.667,0,1,.000,0,0,,2,5,7,2,1,1,0,1,8,11.0
61,60,60,2000-03-08,24-026,BOS,,MIL,W (+11),0,22:00,3,10,.300,0,0,,2,4,.500,5,4,9,0,1,1,4,2,8,3.0
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
63,61,61,2000-03-10,24-028,BOS,,CHI,W (+30),0,19:00,4,10,.400,0,1,.000,1,2,.500,3,8,11,1,0,0,0,5,9,6.4
64,62,62,2000-03-12,24-030,BOS,,PHI,W (+16),0,26:00,5,8,.625,0,0,,1,4,.250,4,7,11,1,0,5,2,2,11,12.5
65,63,63,2000-03-13,24-031,BOS,@,DET,L (-9),0,26:00,2,6,.333,0,0,,2,2,1.000,1,5,6,0,1,0,1,4,6,3.2
66,64,64,2000-03-15,24-033,BOS,,GSW,W (+17),0,19:00,4,8,.500,0,0,,4,4,1.000,1,5,6,2,0,0,0,4,12,10.0
67,65,65,2000-03-17,24-035,BOS,@,ATL,W (+24),0,23:00,5,7,.714,0,0,,0,0,,2,3,5,1,1,1,0,2,10,11.0
68,66,66,2000-03-18,24-036,BOS,@,DAL,W (+5),0,30:00,4,7,.571,0,1,.000,0,0,,2,8,10,1,0,1,1,3,8,7.7
69,67,67,2000-03-20,24-038,BOS,@,PHO,L (-4),0,17:00,0,5,.000,0,0,,2,2,1.000,1,3,4,0,0,1,0,3,2,-0.4
70,68,68,2000-03-22,24-040,BOS,,MIN,L (-3),0,18:00,2,4,.500,0,0,,1,1,1.000,2,2,4,0,0,1,1,4,5,3.1
71,69,69,2000-03-24,24-042,BOS,@,PHI,L (-2),0,11:00,1,2,.500,0,0,,0,0,,2,4,6,1,0,0,1,3,2,2.1
