,G,Opponent,Home_away,Tm,Opp
0,1,Philadelphia 76ers,1,103,97
1,2,Phoenix Suns,0,113,110
2,3,Los Angeles Lakers,0,113,96
3,4,Los Angeles Clippers,1,85,83
4,5,Golden State Warriors,1,96,122
5,6,Minnesota Timberwolves,0,112,92
6,7,Miami Heat,0,97,85
7,8,Toronto Raptors,0,102,112
8,9,Los Angeles Clippers,0,108,110
9,10,Orlando Magic,0,117,119
10,11,Detroit Pistons,1,88,104
11,12,Houston Rockets,0,105,103
12,13,Brooklyn Nets,0,124,105
13,14,Indiana Pacers,0,111,115
14,15,Los Angeles Lakers,1,109,111
15,16,Sacramento Kings,1,101,116
16,17,Denver Nuggets,1,132,129
17,18,Detroit Pistons,0,106,88
18,19,New York Knicks,1,112,103
19,20,Washington Wizards,0,126,115
21,21,New Orleans Pelicans,0,101,92
22,22,Atlanta Hawks,1,102,99
23,23,Houston Rockets,0,99,102
24,24,Boston Celtics,0,99,96
25,25,Portland Trail Blazers,1,95,114
26,26,Utah Jazz,1,89,109
27,27,Phoenix Suns,0,114,101
28,28,Atlanta Hawks,0,108,110
29,29,New Orleans Pelicans,1,121,110
30,30,Boston Celtics,1,117,112
31,31,Minnesota Timberwolves,0,112,100
32,32,Miami Heat,1,106,94
33,33,Memphis Grizzlies,1,80,114
34,34,Los Angeles Clippers,0,114,88
35,35,Milwaukee Bucks,1,94,98
36,36,Charlotte Hornets,1,112,123
37,37,Houston Rockets,1,116,118
38,38,Denver Nuggets,0,121,106
39,39,Chicago Bulls,1,109,94
40,40,Memphis Grizzlies,0,103,95
42,41,Minnesota Timberwolves,1,86,96
43,42,Sacramento Kings,1,122,118
44,43,Los Angeles Clippers,1,98,120
45,44,Golden State Warriors,1,100,121
46,45,Utah Jazz,1,97,95
47,46,New Orleans Pelicans,1,114,105
48,47,Dallas Mavericks,0,109,98
49,48,Cleveland Cavaliers,1,91,107
50,49,San Antonio Spurs,1,94,108
51,50,Chicago Bulls,0,100,128
52,51,Memphis Grizzlies,0,114,102
53,52,Portland Trail Blazers,0,105,99
54,53,Indiana Pacers,1,90,93
55,54,Cleveland Cavaliers,0,118,109
56,55,Golden State Warriors,0,114,130
57,56,Washington Wizards,1,98,120
58,57,New York Knicks,0,116,105
59,58,Los Angeles Lakers,0,110,93
60,59,New Orleans Pelicans,0,118,110
61,60,Utah Jazz,0,109,106
63,61,Portland Trail Blazers,1,109,114
64,62,Phoenix Suns,1,111,118
65,63,Dallas Mavericks,1,89,104
66,64,Portland Trail Blazers,0,121,126
67,65,San Antonio Spurs,0,102,92
68,66,Utah Jazz,0,112,104
69,67,Brooklyn Nets,1,122,104
70,68,Toronto Raptors,1,123,102
71,69,Sacramento Kings,0,110,94
72,70,Golden State Warriors,0,95,111
73,71,Philadelphia 76ers,0,122,97
74,72,Houston Rockets,1,125,137
75,73,Dallas Mavericks,1,92,91
76,74,Orlando Magic,1,114,106
77,75,San Antonio Spurs,0,95,100
78,76,Charlotte Hornets,0,101,113
79,77,Milwaukee Bucks,0,110,79
80,78,Memphis Grizzlies,1,103,100
81,79,Phoenix Suns,1,99,120
82,80,Denver Nuggets,1,106,105
84,81,Minnesota Timberwolves,1,100,98
85,82,Denver Nuggets,0,105,111
