,G,Opponent,Home_away,Tm,Opp
0,1,Sacramento Kings,0,94,113
1,2,Oklahoma City Thunder,1,110,113
2,3,Golden State Warriors,0,100,106
3,4,Los Angeles Clippers,1,98,116
4,5,Portland Trail Blazers,0,118,115
5,6,New Orleans Pelicans,1,112,111
6,7,Los Angeles Lakers,1,108,119
7,8,Portland Trail Blazers,1,121,124
8,9,Detroit Pistons,0,107,100
9,10,Brooklyn Nets,0,104,122
10,11,Golden State Warriors,1,120,133
11,12,Denver Nuggets,1,104,120
12,13,Indiana Pacers,1,116,96
13,14,Philadelphia 76ers,1,105,120
14,15,Washington Wizards,1,101,106
15,16,Orlando Magic,1,92,87
16,17,Minnesota Timberwolves,0,85,98
17,18,Denver Nuggets,0,114,120
18,19,Atlanta Hawks,0,109,107
19,20,Golden State Warriors,1,109,138
21,21,Utah Jazz,1,105,112
22,22,Indiana Pacers,0,94,109
23,23,Los Angeles Lakers,1,119,115
24,24,New Orleans Pelicans,0,119,120
25,25,New York Knicks,0,113,111
26,26,San Antonio Spurs,0,92,107
27,27,Oklahoma City Thunder,1,101,114
28,28,Minnesota Timberwolves,1,108,115
29,29,Houston Rockets,0,111,125
30,30,Philadelphia 76ers,0,123,116
31,31,Houston Rockets,1,115,131
32,32,San Antonio Spurs,1,98,119
33,33,Toronto Raptors,0,99,91
34,34,Utah Jazz,1,86,91
35,35,Los Angeles Clippers,1,98,109
36,36,Miami Heat,0,99,90
37,37,Dallas Mavericks,1,102,95
38,38,Cleveland Cavaliers,0,116,120
39,39,Dallas Mavericks,0,108,113
40,40,San Antonio Spurs,0,108,105
42,41,Utah Jazz,0,101,106
43,42,Cleveland Cavaliers,1,103,118
44,43,New York Knicks,1,107,105
45,44,Toronto Raptors,1,115,103
46,45,Minnesota Timberwolves,0,111,112
47,46,Denver Nuggets,1,120,127
48,47,Denver Nuggets,0,112,123
49,48,Memphis Grizzlies,0,96,115
50,49,Los Angeles Clippers,0,114,124
51,50,Sacramento Kings,1,105,103
52,51,Milwaukee Bucks,0,112,137
53,52,New Orleans Pelicans,1,106,111
54,53,Memphis Grizzlies,1,91,110
55,54,Chicago Bulls,0,115,97
56,55,Houston Rockets,1,102,133
57,56,New Orleans Pelicans,0,108,110
58,57,Los Angeles Lakers,0,137,101
59,58,Chicago Bulls,1,121,128
60,59,Milwaukee Bucks,1,96,100
61,60,Memphis Grizzlies,1,112,130
63,61,Charlotte Hornets,0,120,103
64,62,Oklahoma City Thunder,0,118,111
65,63,Boston Celtics,0,109,106
66,64,Washington Wizards,0,127,131
67,65,Los Angeles Lakers,0,110,122
68,66,Dallas Mavericks,1,100,98
69,67,Portland Trail Blazers,0,101,110
70,68,Sacramento Kings,0,101,107
71,69,Orlando Magic,0,103,109
72,70,Detroit Pistons,1,95,112
73,71,Miami Heat,1,97,112
74,72,Brooklyn Nets,1,98,126
75,73,Boston Celtics,1,120,130
76,74,Charlotte Hornets,1,106,120
77,75,Atlanta Hawks,1,91,95
78,76,Los Angeles Clippers,0,118,124
79,77,Portland Trail Blazers,1,117,130
80,78,Houston Rockets,0,116,123
81,79,Golden State Warriors,0,111,120
82,80,Oklahoma City Thunder,0,120,99
84,81,Dallas Mavericks,0,124,111
85,82,Sacramento Kings,1,104,129
