,G,Opponent,Home_away,Tm,Opp
0,1,Utah Jazz,1,108,119
1,2,Phoenix Suns,1,107,119
2,3,Golden State Warriors,1,114,121
3,4,Washington Bullets,0,99,109
4,5,Dallas Mavericks,0,115,102
5,6,Philadelphia 76ers,1,96,109
6,7,Boston Celtics,0,111,115
7,8,Orlando Magic,1,89,124
8,9,Cleveland Cavaliers,0,100,87
9,10,Detroit Pistons,1,111,97
10,11,Sacramento Kings,0,89,94
11,12,Charlotte Hornets,1,87,105
12,13,New Jersey Nets,0,115,97
13,14,Philadelphia 76ers,0,102,111
14,15,Orlando Magic,0,96,110
15,16,Indiana Pacers,1,103,117
16,17,New York Knicks,1,122,111
17,18,Philadelphia 76ers,1,90,105
18,19,Denver Nuggets,0,99,101
19,20,Atlanta Hawks,0,96,85
21,21,New Jersey Nets,1,102,103
22,22,Milwaukee Bucks,0,122,112
23,23,Charlotte Hornets,0,116,93
24,24,Houston Rockets,0,88,101
25,25,Orlando Magic,1,83,103
26,26,Los Angeles Clippers,0,126,83
27,27,Chicago Bulls,1,88,133
28,28,Boston Celtics,1,113,117
29,29,Minnesota Timberwolves,0,114,91
30,30,Sacramento Kings,1,95,96
31,31,Los Angeles Lakers,1,105,122
32,32,Houston Rockets,1,97,108
33,33,San Antonio Spurs,1,108,113
34,34,Dallas Mavericks,1,84,77
35,35,Atlanta Hawks,1,95,99
36,36,Boston Celtics,0,121,93
37,37,San Antonio Spurs,0,114,115
38,38,New York Knicks,0,95,104
39,39,Indiana Pacers,0,107,96
40,40,Milwaukee Bucks,1,96,87
42,41,Detroit Pistons,1,85,89
43,42,Atlanta Hawks,0,92,95
44,43,Detroit Pistons,0,98,75
45,44,Washington Bullets,1,105,95
46,45,Seattle SuperSonics,0,109,136
47,46,Washington Bullets,0,111,107
48,47,Milwaukee Bucks,0,112,99
49,48,New York Knicks,0,87,96
50,49,New York Knicks,1,91,100
51,50,Indiana Pacers,1,87,106
52,51,Cleveland Cavaliers,1,103,96
53,52,Chicago Bulls,0,91,83
54,53,Minnesota Timberwolves,1,99,106
55,54,Milwaukee Bucks,1,95,85
56,55,Chicago Bulls,1,85,111
57,56,Denver Nuggets,1,98,100
58,57,Washington Bullets,0,103,90
59,58,Los Angeles Lakers,0,110,104
60,59,Portland Trail Blazers,0,90,99
61,60,Charlotte Hornets,1,95,104
63,61,Utah Jazz,0,86,96
64,62,Portland Trail Blazers,1,114,121
65,63,Seattle SuperSonics,1,78,103
66,64,Los Angeles Clippers,1,120,98
67,65,Phoenix Suns,0,117,121
68,66,Indiana Pacers,0,97,95
69,67,Atlanta Hawks,1,98,84
70,68,Golden State Warriors,0,115,111
71,69,New Jersey Nets,0,95,96
72,70,Boston Celtics,0,115,126
73,71,Washington Bullets,1,101,97
74,72,Boston Celtics,1,99,100
75,73,Charlotte Hornets,0,92,105
76,74,Philadelphia 76ers,0,95,92
77,75,New Jersey Nets,1,93,103
78,76,New York Knicks,1,99,112
79,77,Cleveland Cavaliers,0,85,84
80,78,Orlando Magic,0,123,117
81,79,Chicago Bulls,0,93,98
82,80,Cleveland Cavaliers,1,79,90
84,81,Philadelphia 76ers,1,106,113
85,82,Detroit Pistons,0,129,105
