,playoff_regualr,team,year,Unnamed: 0,G,Opponent,Home_away,Tm,Opp
0,regular,MIA,1989,0,1,Los Angeles Clippers,0,91,111
1,regular,MIA,1989,1,2,Dallas Mavericks,1,88,92
2,regular,MIA,1989,2,3,San Antonio Spurs,1,93,117
3,regular,MIA,1989,3,4,Houston Rockets,0,100,121
4,regular,MIA,1989,4,5,Boston Celtics,0,65,84
5,regular,MIA,1989,5,6,Houston Rockets,1,107,113
6,regular,MIA,1989,6,7,Golden State Warriors,0,117,123
7,regular,MIA,1989,7,8,Los Angeles Lakers,0,91,138
8,regular,MIA,1989,8,9,Milwaukee Bucks,1,93,103
9,regular,MIA,1989,9,10,Cleveland Cavaliers,1,80,109
10,regular,MIA,1989,10,11,Charlotte Hornets,1,84,99
11,regular,MIA,1989,11,12,San Antonio Spurs,0,101,105
12,regular,MIA,1989,12,13,Portland Trail Blazers,0,102,105
13,regular,MIA,1989,13,14,Sacramento Kings,0,94,96
14,regular,MIA,1989,14,15,Denver Nuggets,0,110,121
15,regular,MIA,1989,15,16,Chicago Bulls,1,88,111
16,regular,MIA,1989,16,17,Utah Jazz,1,94,110
17,regular,MIA,1989,17,18,Los Angeles Clippers,1,89,88
18,regular,MIA,1989,18,19,Sacramento Kings,1,90,94
19,regular,MIA,1989,19,20,Dallas Mavericks,0,87,104
20,regular,MIA,1989,21,21,Detroit Pistons,1,100,116
21,regular,MIA,1989,22,22,Seattle SuperSonics,0,101,109
22,regular,MIA,1989,23,23,Utah Jazz,0,101,80
23,regular,MIA,1989,24,24,San Antonio Spurs,0,111,109
24,regular,MIA,1989,25,25,Houston Rockets,0,93,101
25,regular,MIA,1989,26,26,Seattle SuperSonics,1,99,129
26,regular,MIA,1989,27,27,Denver Nuggets,1,83,109
27,regular,MIA,1989,28,28,Portland Trail Blazers,1,95,119
28,regular,MIA,1989,29,29,Golden State Warriors,1,100,109
29,regular,MIA,1989,30,30,Los Angeles Lakers,1,86,118
30,regular,MIA,1989,31,31,Phoenix Suns,1,99,107
31,regular,MIA,1989,32,32,Utah Jazz,0,88,92
32,regular,MIA,1989,33,33,Washington Bullets,1,100,106
33,regular,MIA,1989,34,34,Milwaukee Bucks,0,101,107
34,regular,MIA,1989,35,35,Indiana Pacers,0,118,117
35,regular,MIA,1989,36,36,Chicago Bulls,0,108,112
36,regular,MIA,1989,37,37,San Antonio Spurs,1,101,119
37,regular,MIA,1989,38,38,Houston Rockets,1,93,118
38,regular,MIA,1989,39,39,Denver Nuggets,0,108,129
39,regular,MIA,1989,40,40,Boston Celtics,1,103,121
40,regular,MIA,1989,42,41,Golden State Warriors,0,98,105
41,regular,MIA,1989,43,42,Seattle SuperSonics,0,93,100
42,regular,MIA,1989,44,43,Sacramento Kings,0,102,98
43,regular,MIA,1989,45,44,Utah Jazz,1,77,96
44,regular,MIA,1989,46,45,Denver Nuggets,1,92,117
45,regular,MIA,1989,47,46,Cleveland Cavaliers,0,98,109
46,regular,MIA,1989,48,47,Dallas Mavericks,1,80,93
47,regular,MIA,1989,49,48,Charlotte Hornets,0,103,102
48,regular,MIA,1989,50,49,Atlanta Hawks,0,124,115
49,regular,MIA,1989,51,50,New Jersey Nets,1,109,117
50,regular,MIA,1989,52,51,Philadelphia 76ers,0,108,139
51,regular,MIA,1989,53,52,Los Angeles Clippers,0,111,91
52,regular,MIA,1989,54,53,Portland Trail Blazers,0,102,124
53,regular,MIA,1989,55,54,Dallas Mavericks,0,110,111
54,regular,MIA,1989,56,55,New York Knicks,1,123,132
55,regular,MIA,1989,57,56,Utah Jazz,0,95,107
56,regular,MIA,1989,58,57,Detroit Pistons,0,100,109
57,regular,MIA,1989,59,58,Los Angeles Lakers,0,87,127
58,regular,MIA,1989,60,59,Denver Nuggets,0,131,130
59,regular,MIA,1989,61,60,Atlanta Hawks,1,78,111
60,regular,MIA,1989,63,61,Phoenix Suns,0,104,112
61,regular,MIA,1989,64,62,Los Angeles Clippers,1,109,103
62,regular,MIA,1989,65,63,Utah Jazz,1,96,118
63,regular,MIA,1989,66,64,Denver Nuggets,1,105,111
64,regular,MIA,1989,67,65,Phoenix Suns,1,97,115
65,regular,MIA,1989,68,66,New York Knicks,0,107,103
66,regular,MIA,1989,69,67,San Antonio Spurs,0,107,105
67,regular,MIA,1989,70,68,New Jersey Nets,0,100,79
68,regular,MIA,1989,71,69,Indiana Pacers,1,89,96
69,regular,MIA,1989,72,70,Philadelphia 76ers,1,93,114
70,regular,MIA,1989,73,71,Dallas Mavericks,1,96,98
71,regular,MIA,1989,74,72,San Antonio Spurs,1,87,109
72,regular,MIA,1989,75,73,Washington Bullets,0,93,101
73,regular,MIA,1989,76,74,Houston Rockets,0,107,104
74,regular,MIA,1989,77,75,Sacramento Kings,1,69,108
75,regular,MIA,1989,78,76,Golden State Warriors,1,98,114
76,regular,MIA,1989,79,77,Seattle SuperSonics,1,111,116
77,regular,MIA,1989,80,78,Portland Trail Blazers,1,86,97
78,regular,MIA,1989,81,79,Los Angeles Lakers,1,108,121
79,regular,MIA,1989,82,80,Dallas Mavericks,0,99,103
80,regular,MIA,1989,84,81,Phoenix Suns,0,91,117
81,regular,MIA,1989,85,82,Houston Rockets,1,91,89
0,regular,MIA,1990,0,1,New Jersey Nets,0,90,110
1,regular,MIA,1990,1,2,New York Knicks,1,99,119
2,regular,MIA,1990,2,3,New Jersey Nets,1,83,77
3,regular,MIA,1990,3,4,Philadelphia 76ers,1,91,115
4,regular,MIA,1990,4,5,Indiana Pacers,1,98,102
5,regular,MIA,1990,5,6,Detroit Pistons,0,88,84
6,regular,MIA,1990,6,7,Houston Rockets,0,101,99
7,regular,MIA,1990,7,8,Detroit Pistons,1,94,130
8,regular,MIA,1990,8,9,Dallas Mavericks,1,99,100
9,regular,MIA,1990,9,10,Houston Rockets,1,94,132
10,regular,MIA,1990,10,11,Charlotte Hornets,1,98,87
11,regular,MIA,1990,11,12,Philadelphia 76ers,0,103,113
12,regular,MIA,1990,12,13,Atlanta Hawks,0,87,103
13,regular,MIA,1990,13,14,Washington Bullets,1,88,107
14,regular,MIA,1990,14,15,Orlando Magic,1,99,104
15,regular,MIA,1990,15,16,Minnesota Timberwolves,0,100,105
16,regular,MIA,1990,16,17,New Jersey Nets,1,77,101
17,regular,MIA,1990,17,18,Chicago Bulls,0,107,114
18,regular,MIA,1990,18,19,Portland Trail Blazers,0,107,113
19,regular,MIA,1990,19,20,Philadelphia 76ers,1,98,121
20,regular,MIA,1990,21,21,Orlando Magic,0,122,114
21,regular,MIA,1990,22,22,Los Angeles Lakers,0,75,102
22,regular,MIA,1990,23,23,Minnesota Timberwolves,1,95,84
