,playoff_regualr,team,year,Unnamed: 0,G,Opponent,Home_away,Tm,Opp
0,regular,ORL,1990,0,1,New Jersey Nets,0,106,111
1,regular,ORL,1990,1,2,New York Knicks,0,118,110
2,regular,ORL,1990,2,3,Cleveland Cavaliers,1,117,110
3,regular,ORL,1990,3,4,Detroit Pistons,0,121,125
4,regular,ORL,1990,4,5,Atlanta Hawks,1,109,148
5,regular,ORL,1990,5,6,Atlanta Hawks,0,104,112
6,regular,ORL,1990,6,7,Charlotte Hornets,1,116,130
7,regular,ORL,1990,7,8,Milwaukee Bucks,1,113,132
8,regular,ORL,1990,8,9,Philadelphia 76ers,0,116,103
9,regular,ORL,1990,9,10,Sacramento Kings,1,115,113
10,regular,ORL,1990,10,11,Utah Jazz,1,119,97
11,regular,ORL,1990,11,12,Phoenix Suns,1,94,121
12,regular,ORL,1990,12,13,Miami Heat,0,104,99
13,regular,ORL,1990,13,14,Minnesota Timberwolves,0,103,96
14,regular,ORL,1990,14,15,Indiana Pacers,1,110,125
15,regular,ORL,1990,15,16,Portland Trail Blazers,0,95,121
16,regular,ORL,1990,16,17,Atlanta Hawks,0,110,118
17,regular,ORL,1990,17,18,Miami Heat,1,114,122
18,regular,ORL,1990,18,19,Los Angeles Lakers,0,108,103
19,regular,ORL,1990,19,20,Milwaukee Bucks,1,103,106
20,regular,ORL,1990,21,21,Chicago Bulls,1,113,124
21,regular,ORL,1990,22,22,San Antonio Spurs,1,116,125
22,regular,ORL,1990,23,23,Houston Rockets,1,94,109
23,regular,ORL,1990,24,24,Chicago Bulls,0,110,109
24,regular,ORL,1990,25,25,Denver Nuggets,0,125,137
25,regular,ORL,1990,26,26,Detroit Pistons,1,100,106
26,regular,ORL,1990,27,27,Indiana Pacers,1,90,98
27,regular,ORL,1990,28,28,Indiana Pacers,0,101,106
28,regular,ORL,1990,29,29,New York Knicks,1,107,113
29,regular,ORL,1990,30,30,Detroit Pistons,0,113,115
30,regular,ORL,1990,31,31,Chicago Bulls,1,116,127
31,regular,ORL,1990,32,32,Cleveland Cavaliers,0,112,123
32,regular,ORL,1990,33,33,San Antonio Spurs,0,111,102
33,regular,ORL,1990,34,34,Los Angeles Lakers,1,106,121
34,regular,ORL,1990,35,35,Denver Nuggets,1,105,141
35,regular,ORL,1990,36,36,Golden State Warriors,1,127,138
36,regular,ORL,1990,37,37,Boston Celtics,0,111,133
37,regular,ORL,1990,38,38,New Jersey Nets,0,120,105
38,regular,ORL,1990,39,39,Phoenix Suns,0,103,126
39,regular,ORL,1990,40,40,Philadelphia 76ers,1,103,125
40,regular,ORL,1990,42,41,New Jersey Nets,1,117,112
41,regular,ORL,1990,43,42,Atlanta Hawks,0,96,114
42,regular,ORL,1990,44,43,Indiana Pacers,0,129,111
43,regular,ORL,1990,45,44,Milwaukee Bucks,1,111,129
44,regular,ORL,1990,46,45,Los Angeles Clippers,0,110,113
45,regular,ORL,1990,47,46,New York Knicks,0,110,117
46,regular,ORL,1990,48,47,Philadelphia 76ers,0,101,99
47,regular,ORL,1990,49,48,Chicago Bulls,0,135,129
48,regular,ORL,1990,50,49,Atlanta Hawks,1,123,130
49,regular,ORL,1990,51,50,Dallas Mavericks,1,108,135
50,regular,ORL,1990,52,51,Seattle SuperSonics,0,102,117
51,regular,ORL,1990,53,52,Detroit Pistons,1,109,140
