,G,Opponent,Home_away,Tm,Opp
0,1,Detroit Pistons,0,120,111
1,2,Chicago Zephyrs,0,110,109
2,3,Cincinnati Royals,0,121,114
3,4,Cincinnati Royals,1,102,118
4,5,New York Knicks,0,115,109
5,6,Boston Celtics,0,98,97
6,7,Syracuse Nationals,0,108,126
7,8,Chicago Zephyrs,0,114,109
8,9,New York Knicks,0,112,122
9,10,Syracuse Nationals,1,93,101
10,11,Los Angeles Lakers,0,97,96
11,12,Detroit Pistons,0,117,100
12,13,San Francisco Warriors,0,132,100
13,14,Cincinnati Royals,1,111,120
14,15,Syracuse Nationals,0,113,107
15,16,New York Knicks,1,95,103
16,17,Boston Celtics,1,106,115
17,18,Detroit Pistons,0,106,91
18,19,Detroit Pistons,1,121,93
19,20,Boston Celtics,0,97,95
21,21,Syracuse Nationals,0,120,105
22,22,Los Angeles Lakers,1,110,116
23,23,San Francisco Warriors,1,128,121
24,24,Los Angeles Lakers,1,97,110
25,25,San Francisco Warriors,1,122,116
26,26,Chicago Zephyrs,0,104,102
27,27,Chicago Zephyrs,1,93,106
28,28,San Francisco Warriors,0,145,129
29,29,Detroit Pistons,0,119,123
30,30,Boston Celtics,1,98,111
31,31,Detroit Pistons,1,112,94
32,32,New York Knicks,0,115,108
33,33,San Francisco Warriors,1,110,130
34,34,Los Angeles Lakers,1,106,135
35,35,Los Angeles Lakers,1,105,100
36,36,San Francisco Warriors,0,91,94
37,37,Los Angeles Lakers,0,106,104
38,38,Boston Celtics,0,102,100
39,39,Chicago Zephyrs,1,107,100
40,40,Syracuse Nationals,1,95,120
42,41,Detroit Pistons,0,121,100
43,42,Detroit Pistons,1,90,92
44,43,San Francisco Warriors,0,114,103
45,44,Los Angeles Lakers,0,96,99
46,45,New York Knicks,0,110,95
47,46,Cincinnati Royals,0,115,109
48,47,Cincinnati Royals,1,105,104
49,48,San Francisco Warriors,0,116,114
50,49,San Francisco Warriors,0,116,115
51,50,Syracuse Nationals,0,113,93
52,51,Boston Celtics,0,109,111
53,52,Boston Celtics,1,98,113
54,53,Los Angeles Lakers,0,101,105
55,54,Syracuse Nationals,0,123,105
56,55,Syracuse Nationals,1,100,112
57,56,Chicago Zephyrs,1,119,111
58,57,Los Angeles Lakers,0,97,103
59,58,Detroit Pistons,0,120,105
60,59,Cincinnati Royals,0,112,116
61,60,Detroit Pistons,0,95,102
63,61,Syracuse Nationals,0,128,100
64,62,New York Knicks,1,103,102
65,63,New York Knicks,0,113,123
66,64,Cincinnati Royals,1,99,96
67,65,Boston Celtics,0,94,114
68,66,Chicago Zephyrs,0,115,98
69,67,San Francisco Warriors,0,127,106
70,68,Cincinnati Royals,0,114,107
71,69,Chicago Zephyrs,1,93,98
72,70,Detroit Pistons,0,113,115
73,71,Chicago Zephyrs,0,104,97
74,72,Chicago Zephyrs,1,93,116
75,73,New York Knicks,1,129,124
76,74,Los Angeles Lakers,0,117,101
77,75,New York Knicks,0,132,120
78,76,Los Angeles Lakers,1,96,109
79,77,Los Angeles Lakers,1,112,98
80,78,San Francisco Warriors,1,114,109
81,79,San Francisco Warriors,0,108,119
82,80,Detroit Pistons,0,119,105
