,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2012-10-31,27-005,TOR,,IND,L (-2),1,34:22,4,15,.267,1,4,.250,7,8,.875,0,3,3,1,0,3,3,2,16,6.6,-3
1,2,2,2012-11-03,27-008,TOR,@,BRK,L (-7),1,34:19,6,12,.500,1,1,1.000,0,0,,1,2,3,3,0,0,3,2,13,6.6,-3
2,3,3,2012-11-04,27-009,TOR,,MIN,W (+19),1,24:01,4,16,.250,2,4,.500,0,0,,1,0,1,0,0,0,0,3,10,-0.1,+5
3,4,4,2012-11-06,27-011,TOR,@,OKC,L (-20),1,25:07,5,14,.357,3,6,.500,3,3,1.000,0,6,6,0,0,0,2,2,16,7.2,-22
4,5,5,2012-11-07,27-012,TOR,@,DAL,L (-5),1,38:42,9,20,.450,0,5,.000,7,7,1.000,2,7,9,3,2,0,0,1,25,21.8,+7
5,6,6,2012-11-10,27-015,TOR,,PHI,L (-10),1,40:51,9,19,.474,3,6,.500,2,4,.500,0,5,5,3,3,0,1,1,23,17.7,+4
6,7,7,2012-11-12,27-017,TOR,,UTA,L (-7),1,48:44,5,17,.294,1,4,.250,8,9,.889,2,6,8,1,1,2,2,2,19,12.2,+1
7,8,8,2012-11-13,27-018,TOR,@,IND,W (+2),1,29:46,3,13,.231,2,6,.333,0,0,,0,2,2,1,0,0,1,3,8,-0.8,+5
8,9,9,2012-11-17,27-022,TOR,@,BOS,L (-18),1,26:17,5,14,.357,1,5,.200,4,5,.800,1,1,2,2,0,1,4,2,15,5.1,-22
9,10,10,2012-11-18,27-023,TOR,,ORL,W (+11),1,39:30,7,19,.368,1,4,.250,2,2,1.000,1,4,5,1,2,2,2,3,17,9.3,+20
10,11,11,2012-11-20,27-025,TOR,@,PHI,L (-8),1,39:42,10,21,.476,2,5,.400,0,2,.000,2,5,7,1,1,0,2,2,22,12.3,-8
11,12,12,2012-11-21,27-026,TOR,@,CHA,L (-1),1,33:06,9,17,.529,2,3,.667,5,5,1.000,1,1,2,0,0,0,1,3,25,15.5,+4
12,13,13,2012-11-23,27-028,TOR,@,DET,L (-1),1,37:41,13,20,.650,3,5,.600,5,6,.833,2,3,5,4,1,1,2,3,34,28.4,-3
13,14,14,2012-11-25,27-030,TOR,,SAS,L (-5),1,36:21,2,19,.105,0,7,.000,0,1,.000,1,7,8,1,1,1,2,3,4,-6.9,0
14,15,15,2012-11-27,27-032,TOR,@,HOU,L (-16),1,30:47,8,12,.667,3,4,.750,2,2,1.000,1,3,4,2,1,0,3,0,21,16.8,-24
15,16,,2012-11-28,27-033,TOR,@,MEM,L (-21),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,17,16,2012-11-30,27-035,TOR,,PHO,W (+4),1,27:05,1,4,.250,0,1,.000,2,2,1.000,0,2,2,1,0,0,1,2,4,1.1,-8
17,18,17,2012-12-03,27-038,TOR,@,DEN,L (-3),1,40:18,10,20,.500,2,8,.250,1,2,.500,0,4,4,0,0,1,2,2,23,11.7,+7
18,19,18,2012-12-05,27-040,TOR,@,SAC,L (-7),1,26:43,3,14,.214,0,6,.000,2,2,1.000,1,2,3,3,0,1,2,2,8,0.7,-18
19,20,19,2012-12-07,27-042,TOR,@,UTA,L (-32),1,33:27,8,15,.533,1,3,.333,3,4,.750,0,8,8,0,0,2,3,2,20,12.3,-20
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,20,2012-12-09,27-044,TOR,@,LAC,L (-19),1,33:12,5,16,.313,2,6,.333,0,0,,0,2,2,2,0,1,0,2,12,4.7,-10
22,22,21,2012-12-10,27-045,TOR,@,POR,L (-18),1,7:38,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,1,1,2,-0.5,+3
23,23,,2012-12-12,27-047,TOR,,BRK,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
24,24,,2012-12-14,27-049,TOR,,DAL,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
25,25,,2012-12-16,27-051,TOR,,HOU,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
26,26,,2012-12-18,27-053,TOR,@,CLE,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
27,27,,2012-12-19,27-054,TOR,,DET,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
28,28,,2012-12-21,27-056,TOR,,ORL,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
29,29,,2012-12-26,27-061,TOR,@,SAS,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
30,30,,2012-12-28,27-063,TOR,@,NOH,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
31,31,,2012-12-29,27-064,TOR,@,ORL,W (+35),Inactive,,,,,,,,,,,,,,,,,,,,,
32,32,,2013-01-02,27-068,TOR,,POR,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,,2013-01-04,27-070,TOR,,SAC,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
34,34,,2013-01-06,27-072,TOR,,OKC,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
35,35,,2013-01-09,27-075,TOR,,PHI,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
36,36,,2013-01-11,27-077,TOR,,CHA,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
37,37,,2013-01-13,27-079,TOR,,MIL,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
38,38,,2013-01-15,27-081,TOR,@,BRK,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
39,39,,2013-01-16,27-082,TOR,,CHI,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
40,40,,2013-01-18,27-084,TOR,@,PHI,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2013-01-20,27-086,TOR,,LAL,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
43,42,,2013-01-23,27-089,TOR,@,MIA,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
44,43,,2013-01-24,27-090,TOR,@,ORL,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
45,44,,2013-01-26,27-092,TOR,,CLE,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
46,45,,2013-01-28,27-094,TOR,,GSW,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
47,46,,2013-01-30,27-096,TOR,@,ATL,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,47,,2013-02-01,27-098,TOR,,LAC,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,,2013-02-03,27-100,TOR,,MIA,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
50,49,22,2013-02-06,27-103,TOR,,BOS,L (-4),0,23:51,5,10,.500,0,3,.000,3,3,1.000,1,2,3,2,2,0,1,2,13,10.9,+2
51,50,23,2013-02-08,27-105,TOR,@,IND,W (+2),0,29:20,7,10,.700,0,1,.000,0,0,,1,1,2,1,2,0,4,5,14,7.5,+6
52,51,,2013-02-10,27-107,TOR,,NOH,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,52,24,2013-02-12,27-109,TOR,,DEN,W (+1),0,17:57,2,7,.286,0,3,.000,0,0,,0,1,1,0,0,0,2,0,4,-1.8,-8
54,53,25,2013-02-13,27-110,TOR,@,NYK,W (+4),0,11:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,1,0,2,1.4,+2
55,54,26,2013-02-19,27-116,TOR,@,WAS,W (+8),0,25:36,4,7,.571,1,3,.333,0,0,,1,3,4,1,1,1,1,1,9,8.3,-2
56,55,27,2013-02-20,27-117,TOR,,MEM,L (-6),0,21:30,0,4,.000,0,1,.000,0,0,,1,1,2,0,1,1,1,4,0,-2.7,-9
57,56,28,2013-02-22,27-119,TOR,,NYK,W (+2),0,12:52,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-2
58,57,29,2013-02-25,27-122,TOR,,WAS,L (-6),0,21:02,4,11,.364,0,2,.000,0,0,,2,1,3,0,1,0,1,1,8,3.2,-2
59,58,30,2013-02-27,27-124,TOR,@,CLE,L (-11),0,15:46,0,4,.000,0,2,.000,0,0,,0,1,1,1,0,1,1,0,0,-2.1,-12
60,59,31,2013-03-01,27-126,TOR,,IND,L (-12),0,32:46,3,7,.429,0,1,.000,2,2,1.000,0,0,0,0,1,1,2,2,8,3.2,-14
61,60,32,2013-03-02,27-127,TOR,@,MIL,L (-8),1,33:00,4,14,.286,1,3,.333,2,2,1.000,1,6,7,3,0,2,2,2,11,6.0,-7
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,33,2013-03-04,27-129,TOR,@,GSW,L (-7),1,36:28,8,18,.444,5,7,.714,5,6,.833,3,4,7,0,0,1,0,2,26,19.4,+8
64,62,34,2013-03-06,27-131,TOR,@,PHO,W (+27),1,24:00,4,10,.400,1,2,.500,0,0,,0,5,5,1,1,0,0,1,9,6.4,+7
65,63,35,2013-03-08,27-133,TOR,@,LAL,L (-2),1,8:54,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,2,1.3,+5
66,64,,2013-03-10,27-135,TOR,,CLE,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2013-03-13,27-138,TOR,@,BOS,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2013-03-15,27-140,TOR,,CHA,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
69,67,,2013-03-17,27-142,TOR,,MIA,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2013-03-20,27-145,TOR,@,CHA,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
71,69,,2013-03-22,27-147,TOR,,NYK,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2013-03-23,27-148,TOR,@,NYK,L (-26),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2013-03-27,27-152,TOR,,ATL,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
