,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,0,103,107
1,2,Kansas City Kings,1,94,95
2,3,Boston Celtics,0,110,98
3,4,Milwaukee Bucks,0,133,110
4,5,Phoenix Suns,0,125,112
5,6,Golden State Warriors,0,113,111
6,7,Milwaukee Bucks,1,108,110
7,8,Washington Bullets,0,116,105
8,9,Chicago Bulls,1,104,117
9,10,Detroit Pistons,1,107,127
10,11,Atlanta Hawks,0,101,132
11,12,Portland Trail Blazers,0,104,102
12,13,Buffalo Braves,0,97,101
13,14,New Orleans Jazz,0,101,103
14,15,Philadelphia 76ers,1,99,105
15,16,Boston Celtics,1,100,109
16,17,Washington Bullets,1,91,93
17,18,New York Knicks,1,86,104
18,19,New York Knicks,0,120,103
19,20,Cleveland Cavaliers,1,105,92
21,21,Philadelphia 76ers,0,120,116
22,22,Golden State Warriors,1,105,107
23,23,Los Angeles Lakers,1,116,105
24,24,Phoenix Suns,1,93,110
25,25,Seattle SuperSonics,1,84,116
26,26,Los Angeles Lakers,0,91,113
27,27,Phoenix Suns,0,97,101
28,28,Buffalo Braves,1,104,110
29,29,New Jersey Nets,1,103,93
30,30,San Antonio Spurs,1,101,107
31,31,Kansas City Kings,0,113,99
32,32,Cleveland Cavaliers,0,104,99
33,33,Indiana Pacers,1,98,99
34,34,Indiana Pacers,0,104,96
35,35,Milwaukee Bucks,0,101,103
36,36,Atlanta Hawks,1,83,106
37,37,Philadelphia 76ers,1,80,95
38,38,Boston Celtics,1,88,91
39,39,Denver Nuggets,0,106,109
40,40,San Antonio Spurs,0,104,93
42,41,New Orleans Jazz,1,95,99
43,42,Seattle SuperSonics,0,104,106
44,43,Detroit Pistons,0,118,108
45,44,Los Angeles Lakers,1,101,106
46,45,Phoenix Suns,1,96,118
47,46,Denver Nuggets,1,100,105
48,47,Portland Trail Blazers,1,88,123
49,48,New Jersey Nets,0,124,103
50,49,New York Knicks,0,112,102
51,50,Chicago Bulls,0,105,101
52,51,San Antonio Spurs,1,94,104
53,52,San Antonio Spurs,0,114,125
54,53,New Orleans Jazz,1,119,112
55,54,Kansas City Kings,1,102,125
56,55,Indiana Pacers,0,126,122
57,56,Milwaukee Bucks,1,98,115
58,57,Atlanta Hawks,0,121,112
59,58,Boston Celtics,0,111,96
60,59,Detroit Pistons,1,108,119
61,60,New Jersey Nets,1,112,126
63,61,Buffalo Braves,1,110,106
64,62,Cleveland Cavaliers,0,97,110
65,63,Buffalo Braves,0,104,114
66,64,Atlanta Hawks,1,110,133
67,65,Washington Bullets,1,88,106
68,66,New York Knicks,1,101,112
69,67,Portland Trail Blazers,0,94,97
70,68,Washington Bullets,0,114,117
71,69,Seattle SuperSonics,0,91,93
72,70,Cleveland Cavaliers,1,98,119
73,71,Detroit Pistons,0,98,106
74,72,New Jersey Nets,0,104,106
75,73,Chicago Bulls,1,99,101
76,74,Los Angeles Lakers,0,106,124
77,75,Kansas City Kings,0,107,103
78,76,Golden State Warriors,0,89,112
79,77,Philadelphia 76ers,0,116,112
80,78,Denver Nuggets,1,100,109
81,79,Portland Trail Blazers,1,101,89
82,80,Seattle SuperSonics,1,100,113
84,81,New Orleans Jazz,0,114,117
85,82,Indiana Pacers,1,112,111
