,G,Opponent,Home_away,Tm,Opp
0,1,Atlanta Hawks,1,107,98
1,2,Detroit Pistons,1,114,115
2,3,Baltimore Bullets,0,122,120
3,4,Seattle SuperSonics,0,126,107
4,5,San Diego Rockets,0,126,113
5,6,Cincinnati Royals,1,121,100
6,7,Cleveland Cavaliers,1,110,108
7,8,Phoenix Suns,0,125,105
8,9,Boston Celtics,1,123,113
9,10,Buffalo Braves,1,116,107
10,11,Baltimore Bullets,0,105,90
11,12,San Francisco Warriors,0,119,100
12,13,San Diego Rockets,1,117,111
13,14,Los Angeles Lakers,1,117,100
14,15,San Francisco Warriors,1,127,102
15,16,Portland Trail Blazers,1,126,104
16,17,Chicago Bulls,1,117,108
17,18,Detroit Pistons,0,113,87
18,19,New York Knicks,0,94,103
19,20,New York Knicks,1,99,100
21,21,Portland Trail Blazers,0,124,111
22,22,Chicago Bulls,0,107,100
23,23,Philadelphia 76ers,0,128,122
24,24,Atlanta Hawks,0,125,104
25,25,Baltimore Bullets,1,97,127
26,26,Cleveland Cavaliers,0,134,92
27,27,Phoenix Suns,1,111,113
28,28,Seattle SuperSonics,1,124,107
29,29,Boston Celtics,0,124,114
30,30,Cincinnati Royals,1,110,119
31,31,Buffalo Braves,0,131,101
32,32,Los Angeles Lakers,0,113,88
33,33,San Francisco Warriors,0,131,111
34,34,Cincinnati Royals,0,137,114
35,35,Cleveland Cavaliers,1,119,97
36,36,Philadelphia 76ers,1,107,119
37,37,Cleveland Cavaliers,0,118,73
38,38,Seattle SuperSonics,0,124,110
39,39,Chicago Bulls,0,119,106
40,40,New York Knicks,0,116,106
42,41,Detroit Pistons,0,118,100
43,42,Baltimore Bullets,0,151,99
44,43,Cincinnati Royals,0,135,116
45,44,Chicago Bulls,1,110,90
46,45,Boston Celtics,0,120,113
47,46,Baltimore Bullets,1,120,116
48,47,Atlanta Hawks,0,110,117
49,48,Portland Trail Blazers,0,142,117
50,49,Atlanta Hawks,1,142,120
51,50,New York Knicks,1,98,107
52,51,Boston Celtics,1,132,129
53,52,Philadelphia 76ers,1,142,118
54,53,Detroit Pistons,0,131,104
55,54,Portland Trail Blazers,1,111,123
56,55,San Diego Rockets,1,108,101
57,56,Los Angeles Lakers,1,93,116
58,57,San Francisco Warriors,1,111,85
59,58,Phoenix Suns,0,118,94
60,59,Detroit Pistons,1,107,106
61,60,Los Angeles Lakers,0,122,88
63,61,Chicago Bulls,0,103,96
64,62,Atlanta Hawks,1,124,88
65,63,Buffalo Braves,1,135,103
66,64,Philadelphia 76ers,0,119,114
67,65,Seattle SuperSonics,1,128,112
68,66,San Francisco Warriors,1,104,96
69,67,Phoenix Suns,1,125,97
70,68,San Francisco Warriors,0,118,107
71,69,San Diego Rockets,0,139,104
72,70,Cincinnati Royals,0,135,111
73,71,Boston Celtics,1,111,99
74,72,Philadelphia 76ers,0,127,103
75,73,Los Angeles Lakers,0,112,97
76,74,Buffalo Braves,0,116,113
77,75,Detroit Pistons,1,108,95
78,76,Seattle SuperSonics,0,104,99
79,77,Chicago Bulls,1,103,110
80,78,New York Knicks,1,103,108
81,79,Phoenix Suns,0,113,125
82,80,Phoenix Suns,1,119,111
84,81,Seattle SuperSonics,1,121,122
85,82,San Diego Rockets,1,99,111
