,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2014-01-17,27-290,UTA,@,DET,W (+21),Did Not Play,,,,,,,,,,,,,,,,,,,,,
43,42,,2014-01-18,27-291,UTA,@,MIN,L (-26),Did Not Play,,,,,,,,,,,,,,,,,,,,,
44,43,,2014-01-21,27-294,UTA,,MIN,L (-15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,44,,2014-01-25,27-298,UTA,,WAS,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
46,45,,2014-01-27,27-300,UTA,,SAC,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,46,,2014-01-31,27-304,UTA,,GSW,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,47,,2014-02-01,27-305,UTA,@,LAC,L (-15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
49,48,,2014-02-03,27-307,UTA,,TOR,L (-15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,49,,2014-02-07,27-311,UTA,@,DAL,L (-22),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,50,,2014-02-08,27-312,UTA,,MIA,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
52,51,,2014-02-11,27-315,UTA,@,LAL,W (+17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,52,,2014-02-12,27-316,UTA,,PHI,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
54,53,,2014-02-19,27-323,UTA,,BRK,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,54,,2014-02-21,27-325,UTA,@,POR,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
56,55,,2014-02-22,27-326,UTA,,MIN,L (-17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,56,,2014-02-24,27-328,UTA,,BOS,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
58,57,,2014-02-26,27-330,UTA,,PHO,W (+23),Did Not Play,,,,,,,,,,,,,,,,,,,,,
59,58,,2014-02-28,27-332,UTA,@,CLE,L (-20),Did Not Play,,,,,,,,,,,,,,,,,,,,,
60,59,,2014-03-02,27-334,UTA,@,IND,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
61,60,,2014-03-03,27-335,UTA,@,MIL,L (-26),Did Not Play,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2014-03-05,27-337,UTA,@,WAS,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2014-03-07,27-339,UTA,@,NYK,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2014-03-08,27-340,UTA,@,PHI,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2014-03-10,27-342,UTA,,ATL,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2014-03-12,27-344,UTA,,DAL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2014-03-14,27-346,UTA,,LAC,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
69,67,,2014-03-16,27-348,UTA,@,SAS,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2014-03-17,27-349,UTA,@,HOU,L (-38),Inactive,,,,,,,,,,,,,,,,,,,,,
71,69,,2014-03-19,27-351,UTA,@,MEM,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2014-03-22,27-354,UTA,,ORL,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2014-03-24,27-356,UTA,,DET,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
74,72,,2014-03-26,27-358,UTA,,MEM,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
75,73,,2014-03-28,27-360,UTA,@,NOP,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
76,74,,2014-03-30,27-362,UTA,@,OKC,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
77,75,,2014-03-31,27-363,UTA,,NYK,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
78,76,,2014-04-04,28-002,UTA,,NOP,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
