,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
39,39,39,2000-02-24,20-200,MIN,,LAC,W (+25),0,19:00,3,8,.375,0,1,.000,2,2,1.000,0,1,1,5,2,0,0,3,8,8.2
40,40,40,2000-02-25,20-201,MIN,@,TOR,W (+22),0,12:00,0,2,.000,0,0,,0,0,,0,1,1,3,0,0,0,1,0,0.6
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-02-27,20-203,MIN,,SAS,W (+4),0,13:00,2,7,.286,0,1,.000,0,0,,0,1,1,3,0,0,0,0,4,2.3
43,42,42,2000-02-29,20-205,MIN,,CHH,L (-5),0,10:00,2,2,1.000,0,0,,0,0,,1,1,2,5,0,0,1,1,4,6.5
44,43,43,2000-03-02,20-207,MIN,@,SAS,W (+6),0,10:00,2,4,.500,2,3,.667,0,0,,0,0,0,1,0,0,1,3,6,2.5
45,44,44,2000-03-04,20-209,MIN,@,MIL,W (+7),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-0.1
46,45,45,2000-03-05,20-210,MIN,,SEA,W (+5),0,12:00,4,6,.667,1,1,1.000,0,1,.000,0,0,0,1,0,0,2,1,9,4.3
47,46,46,2000-03-07,20-212,MIN,,WAS,L (-4),0,9:00,0,6,.000,0,2,.000,0,0,,1,0,1,1,0,1,0,1,0,-2.5
48,47,47,2000-03-09,20-214,MIN,@,DAL,W (+21),0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
49,48,48,2000-03-14,20-219,MIN,@,PHO,L (-7),0,1:00,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,3,2.3
50,49,49,2000-03-19,20-224,MIN,,MIL,W (+27),0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
51,50,50,2000-03-21,20-226,MIN,,CLE,W (+4),0,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,0,0,0,1.4
52,51,51,2000-03-30,20-235,MIN,,HOU,W (+32),0,6:00,2,4,.500,0,0,,0,0,,2,0,2,1,0,0,0,0,4,4.1
53,52,52,2000-03-31,20-236,MIN,@,IND,L (-24),0,4:00,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1
54,53,53,2000-04-04,20-240,MIN,,ATL,W (+10),0,32:00,5,10,.500,2,3,.667,1,1,1.000,1,2,3,7,0,0,1,2,13,12.4
55,54,54,2000-04-06,20-242,MIN,@,LAC,W (+22),0,3:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,0.0
56,55,55,2000-04-07,20-243,MIN,@,SAC,W (+3),0,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8
57,56,56,2000-04-10,20-246,MIN,,DET,W (+2),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
58,57,57,2000-04-12,20-248,MIN,@,SEA,L (-27),0,10:00,2,6,.333,1,4,.250,1,2,.500,0,1,1,1,0,0,1,0,6,2.2
59,58,58,2000-04-17,20-253,MIN,@,GSW,W (+5),0,6:00,2,5,.400,2,3,.667,0,0,,0,0,0,2,0,0,1,1,6,3.3
60,59,59,2000-04-19,20-255,MIN,,DAL,L (-6),0,15:00,2,5,.400,1,1,1.000,0,0,,0,0,0,1,1,0,1,0,5,3.0
